campaign_id,campaign_name,platform,month,impressions,clicks,conversions,spend,revenue_generated,roas
800143,Flipkart Campaign 142,Facebook,2024-09,73263,5853,2555,201741,5618445,27.85
800144,Flipkart Campaign 143,Facebook,2025-02,589251,23426,3021,180670,5767089,31.92
800145,Flipkart Campaign 144,Facebook,2024-08,703510,16072,2186,188733,2188186,11.59
800146,Flipkart Campaign 145,Google,2024-11,307202,7476,1072,395063,1506160,3.81
800147,Flipkart Campaign 146,Instagram,2024-06,567549,7571,982,74703,1238302,16.58
800148,Flipkart Campaign 147,Facebook,2025-10,782164,19953,1111,171953,1259874,7.33
800149,Flipkart Campaign 148,Instagram,2025-05,589762,26009,812,258641,1019872,3.94
800150,Flipkart Campaign 149,Facebook,2024-05,413745,17987,713,243538,1264862,5.19
800151,Flipkart Campaign 150,Facebook,2024-09,523793,30276,1588,245184,1432376,5.84
800152,Flipkart Campaign 151,Google,2025-04,533849,17088,2933,204937,3616389,17.65
800153,Flipkart Campaign 152,Google,2025-03,648432,12444,3110,234423,5203030,22.2
800154,Flipkart Campaign 153,Google,2024-11,546946,13037,172,49732,215000,4.32
800155,Flipkart Campaign 154,Facebook,2024-07,628076,5266,2953,229506,5132314,22.36
800156,Flipkart Campaign 155,Facebook,2025-11,775696,24560,1771,154632,2197811,14.21
800157,Flipkart Campaign 156,Google,2025-05,680672,11906,1305,84329,2274615,26.97
800158,Flipkart Campaign 157,Google,2024-10,451196,11009,3016,120804,5591664,46.29
800159,Flipkart Campaign 158,Facebook,2025-06,37026,3949,650,365075,1159600,3.18
800160,Flipkart Campaign 159,Google,2024-03,53827,1368,2870,38789,6141800,158.34
800161,Flipkart Campaign 160,Google,2024-11,700960,8652,2729,337427,5026818,14.9
800162,Flipkart Campaign 161,Instagram,2024-04,376885,7200,519,398642,805488,2.02
800163,Flipkart Campaign 162,Google,2024-04,166821,3947,3485,396374,7388200,18.64
800164,Flipkart Campaign 163,Facebook,2024-06,633406,33754,161,179557,168889,0.94
800165,Flipkart Campaign 164,Instagram,2025-01,369879,14783,848,63297,1809632,28.59
800166,Flipkart Campaign 165,Google,2024-02,707592,2131,1234,279188,1620242,5.8
800167,Flipkart Campaign 166,Instagram,2025-05,701429,21640,185,260399,292485,1.12
800168,Flipkart Campaign 167,Facebook,2025-09,705915,4711,3485,334768,6994395,20.89
800169,Flipkart Campaign 168,Instagram,2025-04,275453,10677,1286,49739,1872416,37.64
800170,Flipkart Campaign 169,Google,2025-10,477858,14928,497,227129,774326,3.41
800171,Flipkart Campaign 170,Google,2024-10,778537,39755,1780,87214,1826280,20.94
800172,Flipkart Campaign 171,Instagram,2025-04,799460,16667,752,44199,1030992,23.33
800173,Flipkart Campaign 172,Facebook,2024-06,683403,32574,361,333939,719112,2.15
800174,Flipkart Campaign 173,Instagram,2024-06,762381,15335,2965,69316,3643985,52.57
800175,Flipkart Campaign 174,Instagram,2024-01,21449,8282,2989,249172,5296508,21.26
800176,Flipkart Campaign 175,Instagram,2025-06,783309,20258,837,249733,1075545,4.31
800177,Flipkart Campaign 176,Facebook,2024-08,142242,29707,409,285727,458898,1.61
800178,Flipkart Campaign 177,Google,2025-12,197071,13172,1743,150240,3578379,23.82
800179,Flipkart Campaign 178,Google,2025-10,292402,17766,2923,256109,6319526,24.68
800180,Flipkart Campaign 179,Facebook,2025-11,162028,26196,2033,273752,4183914,15.28
800181,Flipkart Campaign 180,Instagram,2025-04,772989,21113,1440,173822,2728800,15.7
800182,Flipkart Campaign 181,Facebook,2024-06,503414,29222,780,158934,1586520,9.98
800183,Flipkart Campaign 182,Instagram,2024-07,80203,20277,3169,136267,4164066,30.56
800184,Flipkart Campaign 183,Google,2025-01,753367,21597,2073,250137,3103281,12.41
800185,Flipkart Campaign 184,Facebook,2025-11,406628,31761,1432,152008,1530808,10.07
800186,Flipkart Campaign 185,Facebook,2025-12,233780,34271,3120,185334,3900000,21.04
800187,Flipkart Campaign 186,Facebook,2024-02,756622,8851,1045,191714,1038730,5.42
800188,Flipkart Campaign 187,Facebook,2025-07,795404,3095,1753,347300,1579453,4.55
800189,Flipkart Campaign 188,Google,2024-10,421264,19081,3391,334276,6049544,18.1
800190,Flipkart Campaign 189,Instagram,2025-03,499573,2112,1068,185070,1713072,9.26
800191,Flipkart Campaign 190,Google,2025-09,633984,4819,2069,360408,3080741,8.55
800192,Flipkart Campaign 191,Facebook,2025-09,606807,10513,2448,35601,3224016,90.56
800193,Flipkart Campaign 192,Instagram,2025-11,448312,8471,2184,156583,3867864,24.7
800194,Flipkart Campaign 193,Facebook,2024-10,134960,27636,2805,181925,5671710,31.18
800195,Flipkart Campaign 194,Google,2024-10,314381,18592,826,155030,1654478,10.67
800196,Flipkart Campaign 195,Facebook,2025-04,279080,19294,504,331685,982296,2.96
800197,Flipkart Campaign 196,Google,2024-02,504574,32906,1656,395134,2199168,5.57
800198,Flipkart Campaign 197,Facebook,2025-06,452520,7559,3225,176076,4434375,25.18
800199,Flipkart Campaign 198,Facebook,2025-04,268932,20023,3018,202922,4889160,24.09
800200,Flipkart Campaign 199,Facebook,2024-06,352012,2993,2326,217439,4833428,22.23
800201,Flipkart Campaign 200,Instagram,2024-02,440779,35962,703,295827,672771,2.27
800202,Flipkart Campaign 201,Google,2024-02,357003,20598,1622,379290,3104508,8.19
800203,Flipkart Campaign 202,Instagram,2025-06,346647,12053,2881,92559,5401875,58.36
800204,Flipkart Campaign 203,Instagram,2025-01,717430,12981,2028,78551,2861508,36.43
800205,Flipkart Campaign 204,Google,2025-02,313726,1898,2337,116525,4113120,35.3
800206,Flipkart Campaign 205,Instagram,2024-01,378646,31632,3031,332942,6650014,19.97
800207,Flipkart Campaign 206,Facebook,2024-02,495416,38462,3055,352811,3311620,9.39
800208,Flipkart Campaign 207,Google,2024-02,582701,23865,2196,161722,2892132,17.88
800209,Flipkart Campaign 208,Google,2025-03,788164,16865,3321,161946,7299558,45.07
800210,Flipkart Campaign 209,Facebook,2025-10,340639,31764,3063,261914,2949669,11.26
800211,Flipkart Campaign 210,Google,2024-08,502808,4229,1364,117407,1503128,12.8
800212,Flipkart Campaign 211,Facebook,2024-06,37667,34603,2145,381501,3307590,8.67
800213,Flipkart Campaign 212,Facebook,2025-02,458753,15399,1623,249337,1890795,7.58
800214,Flipkart Campaign 213,Instagram,2024-10,711239,26592,127,323754,150241,0.46
800215,Flipkart Campaign 214,Instagram,2024-10,718872,12294,1504,277639,3262176,11.75
800216,Flipkart Campaign 215,Facebook,2024-09,212260,26915,2840,46923,3058680,65.19
800217,Flipkart Campaign 216,Google,2024-05,473623,15938,2103,266148,3512010,13.2
800218,Flipkart Campaign 217,Google,2025-09,80731,6049,2712,87869,4504632,51.27
800219,Flipkart Campaign 218,Facebook,2024-10,734732,12946,134,309591,179560,0.58
800220,Flipkart Campaign 219,Google,2024-08,490843,39375,2145,322862,3558555,11.02
800221,Flipkart Campaign 220,Instagram,2025-06,769616,32068,963,278239,888849,3.19
800222,Flipkart Campaign 221,Google,2024-09,462218,22795,1461,226739,2016180,8.89
800223,Flipkart Campaign 222,Instagram,2024-08,548680,29471,3349,147343,3359047,22.8
800224,Flipkart Campaign 223,Facebook,2024-08,682266,13703,2497,254797,2844083,11.16
800225,Flipkart Campaign 224,Instagram,2024-03,22657,1501,2355,131002,3172185,24.21
800226,Flipkart Campaign 225,Google,2024-04,568677,31757,1792,309942,1919232,6.19
800227,Flipkart Campaign 226,Facebook,2025-05,83187,4195,517,300601,982817,3.27
800228,Flipkart Campaign 227,Facebook,2024-09,103305,35326,1226,332948,2335530,7.01
800229,Flipkart Campaign 228,Instagram,2024-01,474230,15815,1610,255617,1605170,6.28
800230,Flipkart Campaign 229,Instagram,2025-10,332255,5063,442,37151,612612,16.49
800231,Flipkart Campaign 230,Google,2024-06,181217,29028,1050,257613,2114700,8.21
800232,Flipkart Campaign 231,Facebook,2025-11,488667,35190,1001,163922,2074072,12.65
800233,Flipkart Campaign 232,Instagram,2024-07,316361,32757,1313,390134,1260480,3.23
800234,Flipkart Campaign 233,Google,2024-06,82745,37758,1764,194746,3323376,17.07
800235,Flipkart Campaign 234,Facebook,2025-06,735728,34918,1360,174530,1549040,8.88
800236,Flipkart Campaign 235,Facebook,2024-04,135151,14147,3009,146670,4134366,28.19
800237,Flipkart Campaign 236,Instagram,2024-03,125288,2667,1954,178410,2274456,12.75
800238,Flipkart Campaign 237,Google,2025-12,735721,29088,1658,197329,2337780,11.85
800239,Flipkart Campaign 238,Google,2024-07,195535,29250,3427,82468,4540775,55.06
800240,Flipkart Campaign 239,Instagram,2025-08,608191,8502,2301,382200,4572087,11.96
800241,Flipkart Campaign 240,Facebook,2024-09,409508,20716,1387,203252,1399483,6.89
800242,Flipkart Campaign 241,Google,2025-05,256891,39965,824,93097,1615864,17.36
800243,Flipkart Campaign 242,Instagram,2025-12,445617,3691,1748,106230,2837004,26.71
800244,Flipkart Campaign 243,Facebook,2025-06,60403,13641,2210,227242,4468620,19.66
800245,Flipkart Campaign 244,Google,2024-02,52262,12020,2229,271390,4714335,17.37
800246,Flipkart Campaign 245,Facebook,2025-01,210199,35571,957,362245,1635513,4.51
800247,Flipkart Campaign 246,Instagram,2025-07,574620,34642,2720,148464,3927680,26.46
800248,Flipkart Campaign 247,Facebook,2024-08,338383,15223,2878,393185,4932892,12.55
800249,Flipkart Campaign 248,Instagram,2025-07,575508,20089,1787,99454,2760915,27.76
800250,Flipkart Campaign 249,Instagram,2024-06,288635,26216,1604,103472,2218332,21.44
800251,Flipkart Campaign 250,Instagram,2025-02,224212,19754,473,349040,641861,1.84
800252,Flipkart Campaign 251,Facebook,2024-08,760176,8156,2385,255241,4006800,15.7
800253,Flipkart Campaign 252,Google,2024-02,616521,10610,468,381082,876564,2.3
800254,Flipkart Campaign 253,Google,2024-12,387539,23024,2718,184694,2590254,14.02
800255,Flipkart Campaign 254,Instagram,2024-07,183309,29961,596,127927,1299876,10.16
800256,Flipkart Campaign 255,Google,2024-07,283373,38678,1787,366666,3581148,9.77
800257,Flipkart Campaign 256,Facebook,2025-07,451186,21088,1897,346321,3164196,9.14
800258,Flipkart Campaign 257,Instagram,2024-01,526266,15141,1344,152987,1771392,11.58
800259,Flipkart Campaign 258,Instagram,2024-04,722502,3447,555,377003,877455,2.33
800260,Flipkart Campaign 259,Instagram,2025-06,252276,13299,1155,44618,1660890,37.22
800261,Flipkart Campaign 260,Facebook,2024-10,692073,37769,3435,167669,6818475,40.67
800262,Flipkart Campaign 261,Facebook,2025-08,251130,28609,2407,390980,3858421,9.87
800263,Flipkart Campaign 262,Google,2024-05,57012,9476,1280,386703,1955840,5.06
800264,Flipkart Campaign 263,Google,2024-06,125589,16924,2108,146474,2139620,14.61
800265,Flipkart Campaign 264,Instagram,2025-02,488444,24482,2821,178570,4011462,22.46
800266,Flipkart Campaign 265,Instagram,2024-10,770478,6350,440,82161,791120,9.63
800267,Flipkart Campaign 266,Facebook,2025-04,57028,6630,3405,172477,6663585,38.63
800268,Flipkart Campaign 267,Instagram,2024-09,306074,35538,2682,255225,5063616,19.84
800269,Flipkart Campaign 268,Instagram,2025-12,71253,2405,2192,339947,3739552,11.0
800270,Flipkart Campaign 269,Google,2024-11,419905,14555,2882,376800,3766774,10.0
800271,Flipkart Campaign 270,Google,2024-07,482308,27609,835,390369,1613220,4.13
800272,Flipkart Campaign 271,Google,2024-01,558823,27516,2287,162962,4663193,28.62
800273,Flipkart Campaign 272,Instagram,2025-01,578611,36040,932,201106,1943220,9.66
800274,Flipkart Campaign 273,Instagram,2025-12,113015,33186,367,64673,802996,12.42
800275,Flipkart Campaign 274,Instagram,2024-07,399204,38585,426,158667,863928,5.44
800276,Flipkart Campaign 275,Google,2024-09,562255,12385,228,390541,461472,1.18
800277,Flipkart Campaign 276,Google,2024-07,355083,12772,3384,394538,4575168,11.6
800278,Flipkart Campaign 277,Google,2025-09,513075,29050,1387,83837,1665787,19.87
800279,Flipkart Campaign 278,Instagram,2024-07,320287,31280,1906,65519,2378688,36.31
800280,Flipkart Campaign 279,Instagram,2025-12,55423,23972,2146,59772,3684682,61.65
800281,Flipkart Campaign 280,Facebook,2024-02,569291,1318,1163,194916,1638667,8.41
800282,Flipkart Campaign 281,Google,2024-03,333674,19655,601,60101,895490,14.9
800283,Flipkart Campaign 282,Google,2024-12,704653,38696,129,333462,243294,0.73
800284,Flipkart Campaign 283,Facebook,2024-05,487491,16495,2915,174221,2850870,16.36
800285,Flipkart Campaign 284,Instagram,2025-03,519160,13080,2537,275672,3356451,12.18
800286,Flipkart Campaign 285,Instagram,2025-07,37309,9757,1697,177032,2453862,13.86
800287,Flipkart Campaign 286,Facebook,2024-08,70545,30871,1514,390318,2443596,6.26
800288,Flipkart Campaign 287,Facebook,2025-08,67223,1685,1480,65763,2172640,33.04
800289,Flipkart Campaign 288,Google,2025-08,156280,7721,2237,34519,3373396,97.73
800290,Flipkart Campaign 289,Instagram,2025-08,309509,33200,342,68227,321822,4.72
800291,Flipkart Campaign 290,Instagram,2024-12,517927,37047,2377,83298,2407901,28.91
800292,Flipkart Campaign 291,Facebook,2025-02,417662,4747,3302,65273,4375150,67.03
800293,Flipkart Campaign 292,Google,2025-05,749768,15498,1732,298028,3635468,12.2
800294,Flipkart Campaign 293,Google,2025-07,623991,27932,2438,266837,5214882,19.54
800295,Flipkart Campaign 294,Google,2024-03,287622,4778,2714,325214,3150954,9.69
800296,Flipkart Campaign 295,Facebook,2025-03,71049,31223,2135,180830,2532110,14.0
800297,Flipkart Campaign 296,Facebook,2024-01,112070,28566,1607,227937,1859299,8.16
800298,Flipkart Campaign 297,Facebook,2024-06,125288,4111,1529,166570,1966294,11.8
800299,Flipkart Campaign 298,Google,2024-08,331250,1964,2741,97712,5043440,51.62
800300,Flipkart Campaign 299,Facebook,2025-05,723216,5551,373,209000,688558,3.29
800301,Flipkart Campaign 300,Facebook,2025-11,222317,26587,2669,117262,3205469,27.34
800302,Flipkart Campaign 301,Facebook,2025-08,153071,15937,1346,49605,1491368,30.06
800303,Flipkart Campaign 302,Facebook,2025-05,162975,29221,964,284174,1961740,6.9
800304,Flipkart Campaign 303,Facebook,2025-08,167357,16703,2037,209617,2165331,10.33
800305,Flipkart Campaign 304,Instagram,2024-07,599918,21659,1701,143976,2651859,18.42
800306,Flipkart Campaign 305,Facebook,2024-12,675168,35290,878,154020,1110670,7.21
800307,Flipkart Campaign 306,Facebook,2024-09,253800,19775,2624,127761,4195776,32.84
800308,Flipkart Campaign 307,Google,2025-12,473365,11559,987,95855,2143764,22.36
800309,Flipkart Campaign 308,Google,2024-01,409618,32698,2118,221967,4125864,18.59
800310,Flipkart Campaign 309,Google,2024-08,438513,12451,2731,187365,3004100,16.03
800311,Flipkart Campaign 310,Facebook,2025-01,321317,2079,2425,247291,2975475,12.03
800312,Flipkart Campaign 311,Google,2024-03,715568,32220,2963,254839,3072631,12.06
800313,Flipkart Campaign 312,Instagram,2025-07,623773,23847,2559,376047,3564687,9.48
800314,Flipkart Campaign 313,Google,2024-10,620415,35665,2232,66858,3321216,49.68
800315,Flipkart Campaign 314,Google,2024-01,492103,15550,2727,75848,4758615,62.74
800316,Flipkart Campaign 315,Facebook,2025-11,684277,33864,1471,184419,1851989,10.04
800317,Flipkart Campaign 316,Google,2025-03,100684,10867,3037,378624,5636672,14.89
