feedback_id,customer_id,product_id,rating_stars,sentiment,delivery_status,feedback_date,order_value
600035,101669,503203,1,Positive,On Time,2025-11-28 08:04:00,3685
600036,115762,502080,2,Positive,On Time,2025-02-02 10:05:26,4439
600037,103737,501803,1,Positive,On Time,2024-01-15 16:30:28,5048
600038,114706,503276,5,Positive,Delayed,2025-03-02 18:06:41,3463
600039,113640,500997,2,Neutral,Delayed,2025-11-26 16:04:03,1496
600040,102655,502202,5,Positive,On Time,2024-11-12 16:19:22,4268
600041,105617,503389,1,Positive,On Time,2024-02-29 09:44:48,1589
600042,114690,500636,5,Neutral,On Time,2024-04-04 18:50:32,2900
600043,101605,502956,3,Neutral,Slightly Delayed,2024-08-07 10:16:14,522
600044,104620,501508,1,Positive,On Time,2025-09-05 23:38:38,4964
600045,113046,500172,5,Positive,On Time,2025-08-17 21:59:55,4708
600046,108956,500425,5,Positive,On Time,2025-05-25 19:10:55,1098
600047,112569,501475,1,Positive,Slightly Delayed,2025-09-28 19:56:02,788
600048,103419,503044,1,Neutral,On Time,2024-03-07 21:45:12,4647
600049,104816,502056,1,Positive,On Time,2025-10-14 22:15:09,5958
600050,114987,502950,1,Positive,Slightly Delayed,2024-07-12 00:56:10,2838
600051,116683,501510,4,Positive,On Time,2024-07-31 14:45:22,1218
600052,104839,501799,4,Negative,On Time,2025-10-31 18:02:41,503
600053,108060,503462,1,Neutral,Slightly Delayed,2024-04-02 12:23:35,878
600054,114099,500440,4,Neutral,On Time,2025-10-12 10:06:50,888
600055,110358,501086,4,Positive,On Time,2025-06-26 16:12:08,680
600056,106120,500965,4,Positive,Slightly Delayed,2024-04-25 14:22:07,686
600057,108816,502174,5,Positive,On Time,2025-11-04 05:57:34,2939
600058,116173,501466,4,Negative,On Time,2024-02-05 01:01:10,5562
600059,101506,503425,5,Neutral,Delayed,2025-07-25 04:03:46,1753
600060,104021,500838,5,Positive,On Time,2024-05-02 11:09:44,506
600061,103059,500977,1,Positive,On Time,2025-02-28 23:16:11,1319
600062,110602,500142,2,Negative,On Time,2025-10-02 07:20:49,3521
600063,106295,501021,5,Neutral,On Time,2025-06-18 04:04:27,1489
600064,105651,502748,2,Positive,On Time,2024-08-10 07:05:42,4863
600065,112155,502136,5,Positive,Slightly Delayed,2024-06-19 05:36:48,5204
600066,114188,501883,5,Positive,On Time,2025-11-06 14:56:33,4341
600067,101325,501398,2,Positive,On Time,2025-04-13 09:50:03,4550
600068,115085,503031,5,Positive,On Time,2024-07-29 22:16:22,3539
600069,112943,501826,5,Positive,On Time,2024-12-09 09:01:24,1912
600070,102542,503475,1,Positive,On Time,2025-05-11 10:06:43,830
600071,104918,503327,4,Neutral,On Time,2024-10-12 01:31:40,4205
600072,117989,502778,2,Positive,On Time,2024-02-29 18:44:53,1374
600073,110934,501518,2,Neutral,On Time,2025-08-01 07:19:30,631
600074,111247,500617,4,Positive,On Time,2025-01-25 17:18:03,3723
600075,107807,501676,1,Positive,On Time,2025-08-01 01:20:03,5949
600076,114256,500109,5,Positive,On Time,2025-01-06 04:18:22,714
600077,116297,503316,2,Positive,On Time,2024-08-23 18:04:58,4398
600078,112768,503245,1,Negative,On Time,2024-09-05 14:13:02,2108
600079,113306,501401,3,Positive,Slightly Delayed,2025-08-20 15:52:26,2133
600080,103629,503444,3,Positive,On Time,2025-03-01 20:03:41,1451
600081,101215,500065,5,Negative,Slightly Delayed,2024-08-07 02:59:26,3157
600082,102814,502096,4,Positive,On Time,2025-10-25 22:03:59,1925
600083,109136,502951,3,Negative,On Time,2025-03-19 21:41:44,5006
600084,107270,502138,2,Positive,On Time,2025-06-20 08:20:27,2894
600085,101333,501145,1,Negative,On Time,2025-05-10 03:59:46,5557
600086,116131,501362,4,Neutral,On Time,2025-10-24 05:50:39,3019
600087,104678,503289,3,Neutral,On Time,2024-11-09 10:57:57,1415
600088,117104,500477,1,Neutral,On Time,2024-07-24 09:12:47,3391
600089,104337,502580,5,Positive,On Time,2025-10-19 18:02:08,5824
600090,101504,502901,4,Positive,On Time,2024-12-01 14:13:45,5635
600091,106109,501771,5,Positive,On Time,2024-10-09 06:43:21,5036
600092,116993,500310,1,Negative,On Time,2025-06-03 18:56:17,3394
600093,102617,502954,1,Positive,On Time,2025-01-28 05:17:51,3353
600094,104924,501772,3,Positive,On Time,2024-01-12 13:19:31,4162
600095,114939,500489,3,Positive,Slightly Delayed,2024-04-16 00:07:48,691
600096,110751,502382,3,Positive,Slightly Delayed,2025-02-01 12:54:03,3126
600097,106652,500152,2,Negative,On Time,2025-05-03 13:31:13,5875
600098,109024,502219,4,Negative,On Time,2025-07-19 00:38:00,3350
600099,100932,501524,2,Positive,On Time,2025-09-16 01:19:34,1691
600100,112780,501440,3,Positive,On Time,2024-09-11 20:57:35,5796
600101,103645,500848,5,Positive,Slightly Delayed,2024-06-21 22:31:01,2481
600102,103971,500380,4,Positive,Delayed,2025-10-05 04:09:49,5513
600103,114296,501396,3,Neutral,On Time,2024-07-05 17:49:25,5766
600104,107765,503193,1,Neutral,Slightly Delayed,2024-11-14 05:15:32,4416
600105,106540,500651,4,Negative,On Time,2025-09-23 18:16:07,2249
600106,103356,502936,2,Positive,On Time,2025-03-18 00:53:38,4694
600107,109441,502404,3,Positive,On Time,2025-07-14 07:29:57,4548
600108,103394,502746,1,Positive,On Time,2025-09-21 01:20:02,5973
600109,103239,501204,1,Positive,On Time,2025-01-15 09:01:25,570
600110,111032,502244,2,Neutral,On Time,2024-10-28 21:11:07,4317
600111,103744,500344,3,Positive,On Time,2025-09-21 15:31:56,3640
600112,106715,500298,3,Negative,Slightly Delayed,2025-05-25 04:51:13,3551
600113,104985,502463,3,Neutral,On Time,2024-05-23 04:39:48,434
600114,111959,502787,5,Positive,On Time,2025-04-21 22:49:27,609
600115,100757,502852,3,Positive,Slightly Delayed,2025-08-28 15:23:44,5438
600116,117046,500240,2,Positive,On Time,2025-01-16 03:49:22,2207
600117,104693,502093,2,Positive,On Time,2024-08-15 16:21:26,1924
600118,101589,502728,2,Neutral,On Time,2024-07-21 03:06:34,376
600119,105306,500328,4,Positive,Delayed,2024-08-17 22:20:01,4300
600120,104915,502752,5,Negative,On Time,2024-04-07 23:55:58,1783
600121,116722,503409,1,Positive,On Time,2024-07-22 00:18:23,4543
600122,116502,500959,4,Neutral,On Time,2024-07-29 15:19:29,2056
600123,107276,502037,1,Positive,Slightly Delayed,2025-03-30 16:28:30,1466
600124,113770,503101,1,Positive,Delayed,2025-10-07 05:36:29,3080
600125,111672,503182,3,Positive,On Time,2024-01-01 00:23:53,1491
600126,108797,501631,2,Neutral,On Time,2025-10-25 03:08:57,2799
600127,103684,501950,2,Positive,On Time,2024-09-10 09:58:59,1073
600128,110696,501516,1,Positive,Slightly Delayed,2024-08-02 12:26:20,5678
600129,114583,503431,2,Neutral,On Time,2024-03-05 06:41:40,767
600130,107996,502946,2,Negative,Slightly Delayed,2024-07-22 21:29:05,977
600131,107870,500703,1,Positive,On Time,2025-02-23 09:48:31,3842
600132,102801,502840,2,Neutral,On Time,2024-02-24 06:39:29,2470
600133,108887,503373,2,Neutral,Slightly Delayed,2025-05-16 19:31:54,5585
600134,101707,502798,4,Positive,On Time,2024-04-30 12:55:17,5110
600135,113983,501482,2,Neutral,On Time,2025-04-30 00:22:35,3171
600136,111459,500249,5,Neutral,On Time,2025-02-24 08:54:18,4342
600137,110447,503189,5,Positive,Slightly Delayed,2025-12-12 20:41:54,1248
600138,114892,501872,3,Positive,On Time,2025-02-11 11:45:32,3194
600139,116229,500735,3,Positive,Delayed,2024-10-08 14:15:26,1113
600140,105543,501313,2,Positive,On Time,2025-08-18 15:23:39,1156
600141,106190,500428,2,Positive,On Time,2024-09-10 09:33:39,5373
600142,108114,502334,2,Neutral,On Time,2024-01-22 03:10:15,1689
600143,108584,502923,1,Positive,On Time,2025-03-12 08:32:08,984
600144,107536,500443,1,Positive,Delayed,2025-06-24 03:01:14,2455
600145,103036,502148,2,Neutral,On Time,2024-05-09 15:28:04,2731
600146,116282,502630,5,Neutral,Slightly Delayed,2024-08-02 01:48:39,4368
600147,110757,502456,4,Neutral,Delayed,2025-02-17 14:24:20,498
600148,106986,502922,2,Positive,Slightly Delayed,2024-06-02 18:13:30,1119
600149,115326,500969,5,Positive,On Time,2024-12-20 21:08:45,3161
600150,117551,500805,1,Negative,On Time,2025-07-11 03:19:04,5343
600151,110017,502411,4,Neutral,On Time,2025-08-11 12:53:56,379
600152,103639,502724,2,Positive,Slightly Delayed,2024-12-25 11:28:32,3067
600153,116853,502086,4,Positive,Delayed,2024-05-14 22:07:57,711
600154,102019,503081,3,Negative,Slightly Delayed,2025-10-17 14:39:53,492
600155,114607,500659,2,Neutral,On Time,2024-03-28 23:26:53,1340
600156,114363,501016,2,Positive,On Time,2024-10-27 17:01:23,5449
600157,102879,502401,5,Positive,On Time,2024-01-31 00:19:32,3033
600158,107605,501365,4,Positive,On Time,2024-04-12 17:14:45,2608
600159,114281,503221,2,Positive,Slightly Delayed,2025-05-29 17:48:34,750
600160,111606,503425,3,Neutral,Slightly Delayed,2025-06-05 14:58:37,3535
600161,103313,500563,2,Neutral,Delayed,2024-07-11 06:08:32,5896
600162,116076,500030,2,Negative,On Time,2025-12-21 20:26:07,3678
600163,114340,503237,4,Positive,On Time,2025-10-11 06:25:37,1527
600164,104684,502836,5,Positive,Slightly Delayed,2025-04-03 05:19:02,2334
600165,101752,501471,1,Positive,On Time,2025-12-18 22:54:20,4717
600166,111093,501387,2,Positive,On Time,2024-10-23 21:09:11,4688
600167,106918,501046,4,Positive,Delayed,2024-09-16 08:15:34,5210
600168,114155,500747,3,Positive,Slightly Delayed,2025-02-11 07:29:35,5010
600169,106766,501931,2,Neutral,On Time,2025-10-30 20:24:24,309
600170,113493,500891,2,Negative,On Time,2025-08-28 17:19:15,1411
600171,117808,502808,4,Neutral,Delayed,2024-11-10 19:25:48,5830
600172,107358,500583,4,Neutral,On Time,2025-12-26 06:16:05,3235
600173,117488,500775,2,Neutral,On Time,2025-10-26 21:25:11,3849
600174,108170,502117,3,Positive,Delayed,2025-10-05 08:03:50,5028
600175,101113,501679,2,Positive,Slightly Delayed,2024-10-09 15:58:57,3973
600176,102443,501449,2,Negative,On Time,2024-08-31 10:06:40,1328
600177,108662,502173,3,Positive,Slightly Delayed,2025-10-26 00:44:37,2078
600178,117095,500914,5,Neutral,On Time,2024-02-02 00:21:44,448
600179,108069,503469,5,Positive,On Time,2025-03-06 12:29:45,4193
600180,103926,500770,5,Positive,On Time,2025-04-14 07:36:37,2643
600181,109716,501813,2,Neutral,On Time,2024-04-12 06:07:57,854
600182,112388,500071,1,Positive,On Time,2025-08-05 13:42:47,3254
600183,108223,500723,2,Neutral,On Time,2024-08-06 04:42:45,2577
600184,101835,503243,3,Positive,On Time,2024-09-13 00:51:54,1640
600185,105967,502770,4,Negative,Slightly Delayed,2025-05-18 21:48:36,3917
600186,111165,500637,4,Neutral,On Time,2025-10-02 17:28:55,4445
600187,116037,502298,1,Positive,Delayed,2024-12-16 19:41:04,4396
600188,111875,500889,3,Negative,On Time,2025-05-12 15:38:52,1928
600189,111697,500615,3,Negative,On Time,2025-07-17 16:19:16,1080
600190,107933,503301,1,Positive,Delayed,2025-07-03 10:51:55,2181
600191,102868,502340,4,Neutral,Slightly Delayed,2024-10-13 06:16:43,2119
600192,105818,502533,5,Negative,Slightly Delayed,2024-01-02 13:39:10,2281
600193,117060,501692,4,Neutral,On Time,2025-11-03 23:41:25,3563
600194,114140,501204,2,Neutral,Slightly Delayed,2025-04-13 18:45:14,531
600195,108636,501219,4,Positive,On Time,2024-03-12 07:09:59,2476
600196,110454,501705,5,Negative,On Time,2025-12-01 21:08:05,716
600197,109969,501574,1,Negative,Delayed,2025-01-08 21:47:27,3827
600198,103390,501357,2,Positive,On Time,2025-03-07 14:04:56,1576
600199,102393,503199,1,Positive,Slightly Delayed,2024-03-02 08:12:37,4764
600200,108563,502192,5,Neutral,On Time,2024-09-09 23:53:26,2833
600201,116139,503325,2,Negative,On Time,2025-06-13 18:07:40,508
600202,101578,502210,4,Positive,On Time,2025-02-05 12:14:49,316
600203,100612,502571,4,Negative,On Time,2025-09-28 02:05:03,1957
600204,103144,500576,2,Positive,On Time,2025-05-24 05:49:01,3778
600205,112510,501495,1,Negative,Delayed,2025-01-30 00:36:17,5906
600206,111900,501379,3,Positive,On Time,2024-11-29 11:33:46,572
600207,104251,502864,2,Positive,On Time,2025-06-09 11:37:24,3454
600208,114184,500835,1,Positive,On Time,2025-07-06 04:15:17,3641
600209,106090,501229,3,Positive,On Time,2024-09-12 19:15:26,3292
600210,102055,500160,2,Negative,Delayed,2025-11-07 14:21:09,616
600211,116863,502228,2,Positive,On Time,2024-02-18 08:03:10,5344
600212,100774,503439,2,Positive,On Time,2025-10-02 05:48:36,5575
600213,101837,500645,1,Positive,On Time,2024-06-21 04:27:06,1302
600214,114814,503364,2,Neutral,On Time,2024-02-24 07:29:35,3336
600215,111105,502138,4,Neutral,On Time,2025-06-21 21:48:09,2579
600216,107548,501978,3,Positive,On Time,2024-10-10 09:09:14,3143
600217,111793,500190,4,Positive,On Time,2025-08-11 09:47:29,5800
600218,110646,500474,1,Positive,Slightly Delayed,2024-07-31 13:40:00,5163
600219,107426,500644,1,Neutral,Slightly Delayed,2024-03-30 18:26:37,3020
600220,115420,501685,5,Positive,Slightly Delayed,2025-08-25 11:35:23,370
600221,106211,501183,2,Positive,On Time,2024-07-02 04:38:12,2248
600222,101027,502318,5,Positive,Delayed,2025-03-12 06:25:31,544
600223,108600,500630,3,Positive,On Time,2025-07-21 15:48:31,1056
600224,115262,502900,3,Neutral,Slightly Delayed,2025-10-19 08:55:41,2810
600225,102847,501673,5,Negative,Slightly Delayed,2025-11-10 00:03:56,5067
600226,102685,500704,1,Neutral,On Time,2024-07-09 22:52:16,4584
600227,116230,501032,2,Positive,On Time,2025-10-12 06:36:51,4613
600228,100093,503106,5,Positive,On Time,2025-05-04 17:14:34,4063
600229,108787,503455,2,Positive,On Time,2024-09-24 15:33:50,3975
600230,102540,502161,2,Neutral,On Time,2024-06-04 13:48:02,3325
600231,111295,502861,5,Positive,On Time,2024-11-11 11:50:48,4524
600232,108853,503179,5,Positive,On Time,2025-09-05 03:15:49,5790
600233,114911,500296,5,Positive,On Time,2025-04-18 05:28:27,3170
600234,100769,501349,4,Negative,On Time,2025-05-02 11:08:59,2799
600235,112473,502497,5,Positive,On Time,2024-01-10 17:46:50,4332
600236,103614,502568,5,Positive,On Time,2024-11-18 18:10:48,4750
600237,111440,501166,2,Positive,On Time,2025-05-14 02:28:24,1888
600238,116400,500881,2,Neutral,On Time,2024-01-01 23:07:23,3240
600239,101506,501487,1,Positive,On Time,2024-08-27 23:55:36,1607
600240,108362,501669,3,Positive,On Time,2024-05-17 13:04:10,2223
600241,115410,501242,1,Positive,On Time,2025-08-12 12:47:02,3476
600242,108295,500964,3,Positive,On Time,2024-07-25 19:03:51,796
600243,114495,502781,5,Positive,On Time,2024-01-07 04:16:56,2468
600244,105186,500559,4,Negative,On Time,2025-04-22 07:01:41,5315
600245,111673,501762,1,Neutral,On Time,2024-06-23 09:50:16,889
600246,106004,501851,1,Positive,On Time,2025-10-15 13:59:47,4052
600247,110519,501524,4,Neutral,Delayed,2025-06-24 02:55:16,1982
600248,115966,502323,5,Positive,On Time,2025-09-11 06:53:53,1629
600249,111537,502683,1,Positive,On Time,2025-11-21 12:58:41,2741
600250,112385,500152,1,Positive,On Time,2025-04-18 05:56:50,4453
600251,100251,502209,1,Positive,On Time,2025-06-10 04:47:44,5063
600252,104496,501868,1,Negative,On Time,2024-08-17 09:55:32,302
600253,117172,500145,1,Neutral,On Time,2025-10-21 21:53:40,5253
600254,113377,502531,4,Neutral,Slightly Delayed,2025-12-01 04:13:40,3255
600255,104158,500748,1,Negative,On Time,2025-12-28 05:23:52,830
600256,104385,501006,1,Positive,On Time,2025-09-27 16:24:16,1965
600257,116203,502869,1,Positive,Slightly Delayed,2025-04-24 01:46:36,1111
600258,117959,502063,5,Positive,Slightly Delayed,2025-03-18 11:16:32,1375
600259,101090,500407,3,Positive,On Time,2025-05-08 21:05:28,4150
600260,107093,500683,2,Neutral,On Time,2024-08-27 11:19:24,4796
600261,113217,500643,5,Neutral,On Time,2025-02-19 13:02:20,4298
600262,107872,503241,2,Neutral,Slightly Delayed,2025-06-28 00:56:20,1952
600263,106826,500971,2,Positive,On Time,2025-04-03 05:32:13,4106
600264,100775,503233,1,Neutral,On Time,2025-03-29 11:37:15,4874
600265,105741,502937,2,Neutral,On Time,2024-04-17 15:35:32,2881
600266,117090,502903,2,Positive,On Time,2025-11-03 03:54:57,1857
600267,116483,503336,1,Positive,On Time,2025-01-19 07:41:10,2112
600268,100962,500982,1,Positive,Delayed,2025-06-26 10:11:39,1836
600269,111743,502515,5,Positive,On Time,2025-11-10 04:55:08,2167
600270,101496,503434,4,Positive,On Time,2024-12-13 08:08:17,3385
600271,107394,503232,5,Negative,On Time,2025-06-13 02:57:01,3497
600272,102313,500563,1,Positive,On Time,2025-10-26 12:56:54,4032
600273,110950,502940,1,Positive,Slightly Delayed,2025-05-08 11:10:39,2815
600274,100765,501757,3,Negative,On Time,2025-04-24 09:58:37,4917
600275,116043,501735,4,Positive,Slightly Delayed,2025-08-13 13:46:56,5344
600276,102640,502842,1,Neutral,On Time,2024-11-23 18:04:42,2143
600277,116860,501680,4,Positive,Slightly Delayed,2024-10-25 08:46:34,2894
600278,106051,503135,3,Negative,On Time,2025-05-20 01:54:10,4421
600279,107063,501899,5,Neutral,Slightly Delayed,2024-10-23 13:42:12,2240
600280,105693,500299,1,Neutral,Delayed,2025-12-30 13:34:58,5201
600281,107879,501884,2,Positive,On Time,2025-10-03 17:07:45,5800
600282,105139,501379,5,Positive,Slightly Delayed,2024-07-25 13:24:25,568
600283,104780,501888,4,Negative,On Time,2025-06-20 16:27:00,4689
600284,112969,503317,3,Neutral,On Time,2025-11-16 02:32:08,5867
600285,109811,500774,2,Positive,Delayed,2025-02-14 05:14:41,5552
600286,115063,501670,3,Positive,On Time,2024-08-10 19:23:54,2392
600287,108480,500751,3,Positive,Delayed,2024-05-08 20:11:54,5293
600288,112755,501380,1,Positive,On Time,2024-03-09 21:34:05,4199
600289,110601,502619,2,Positive,On Time,2025-09-23 18:57:03,5288
600290,112217,500251,5,Neutral,On Time,2025-11-27 17:15:47,4667
600291,109913,502291,3,Neutral,Slightly Delayed,2025-11-11 19:40:02,4926
600292,106309,500928,1,Neutral,On Time,2024-06-26 09:24:03,2627
600293,107173,500376,4,Neutral,On Time,2025-10-06 23:01:09,1364
600294,110378,500383,4,Positive,Slightly Delayed,2024-11-23 17:11:53,5645
600295,110281,502563,5,Negative,On Time,2024-06-13 10:28:04,2506
600296,113838,500589,2,Negative,On Time,2025-09-14 01:27:34,5670
600297,112786,501462,2,Positive,Slightly Delayed,2025-11-11 01:49:13,1330
600298,108081,502950,1,Negative,On Time,2024-10-31 01:49:43,548
600299,117749,500160,3,Positive,On Time,2024-01-24 02:33:16,5494
600300,102498,502679,5,Neutral,On Time,2024-08-14 09:56:12,4921
600301,109149,500298,1,Positive,Delayed,2025-06-13 03:23:33,5719
600302,102303,500037,2,Positive,On Time,2025-01-29 13:26:31,4303
600303,115439,503365,4,Positive,On Time,2024-11-13 15:34:42,1345
600304,105221,501418,2,Negative,On Time,2025-10-24 21:12:47,2233
600305,106461,501101,3,Neutral,Slightly Delayed,2025-03-21 11:01:28,4741
600306,110916,501793,2,Neutral,Delayed,2024-09-08 14:19:44,868
600307,114566,501428,4,Positive,On Time,2024-08-07 15:41:05,2085
600308,108104,503451,1,Positive,Delayed,2024-09-04 04:57:13,4853
600309,111205,503305,3,Positive,Delayed,2024-01-17 05:42:23,5733
600310,103887,501664,5,Neutral,On Time,2025-03-29 20:56:59,5402
600311,115767,502734,5,Positive,On Time,2024-06-17 02:56:12,5467
600312,100853,502216,3,Positive,On Time,2025-09-14 15:31:11,3083
600313,105088,502221,4,Positive,Slightly Delayed,2024-01-02 04:41:00,5558
600314,109601,503401,2,Positive,On Time,2024-02-11 08:24:14,3329
600315,116479,501241,1,Negative,On Time,2024-03-08 14:55:09,994
600316,116614,501538,4,Positive,Slightly Delayed,2025-04-10 21:50:11,3551
600317,114235,503137,2,Positive,Slightly Delayed,2025-12-27 00:07:06,5059
600318,103694,502037,1,Positive,Delayed,2025-02-12 11:24:44,5351
600319,103458,502558,2,Neutral,On Time,2025-08-17 14:00:59,5535
600320,117593,502044,4,Positive,On Time,2024-10-26 18:50:24,2865
600321,116421,500110,3,Positive,On Time,2025-09-29 00:09:07,2533
600322,107219,500081,2,Neutral,On Time,2024-06-10 19:56:10,4167
600323,115673,500040,3,Positive,On Time,2024-11-09 03:05:06,5974
600324,106626,502756,3,Negative,On Time,2024-12-11 02:59:59,5567
600325,110874,502558,5,Positive,Slightly Delayed,2024-09-13 15:07:33,2446
600326,106453,500775,1,Neutral,On Time,2024-06-18 10:13:44,320
600327,112117,501322,5,Positive,Delayed,2025-05-08 14:44:36,5686
600328,115600,500701,1,Neutral,On Time,2025-08-10 17:36:38,1521
600329,106011,501868,2,Negative,On Time,2024-07-07 14:11:56,4736
600330,116261,501633,5,Positive,On Time,2024-08-05 11:22:45,860
600331,106781,501496,1,Negative,On Time,2025-09-23 14:42:15,4571
600332,101504,501912,2,Positive,On Time,2024-09-03 04:18:41,3164
600333,112600,502177,1,Positive,Slightly Delayed,2025-08-06 12:04:09,1350
600334,103373,501479,2,Positive,Slightly Delayed,2025-12-13 03:46:11,4079
600335,113812,503196,2,Positive,On Time,2024-08-07 10:08:47,2826
600336,107805,501877,5,Positive,Slightly Delayed,2024-09-22 11:10:36,5052
600337,114929,502924,2,Positive,On Time,2025-03-10 11:30:41,3370
600338,117576,501703,3,Neutral,On Time,2024-02-09 19:33:02,3952
600339,106846,501846,4,Positive,On Time,2024-12-02 02:33:20,422
600340,106210,503274,4,Neutral,On Time,2024-02-16 23:23:34,2518
600341,113491,501798,4,Neutral,On Time,2025-12-06 04:12:04,311
600342,111019,502922,5,Positive,Delayed,2024-10-07 04:55:38,2482
600343,100627,500986,3,Neutral,Slightly Delayed,2024-04-14 13:55:23,4634
600344,110700,501906,4,Positive,On Time,2024-12-25 21:20:50,5530
600345,101272,502510,1,Positive,On Time,2025-06-01 17:30:52,3517
600346,111204,503467,3,Positive,On Time,2024-08-19 02:11:51,4971
600347,111549,500851,5,Negative,On Time,2024-05-14 22:21:18,3153
600348,114385,502945,1,Negative,On Time,2025-02-19 14:36:37,3930
600349,114786,500816,2,Negative,On Time,2025-08-10 15:03:01,1783
600350,107192,503160,2,Positive,On Time,2024-05-05 04:25:17,1762
600351,107638,500277,4,Positive,On Time,2025-03-19 18:29:26,5890
600352,113223,500222,3,Positive,On Time,2025-06-27 12:42:27,2723
600353,117496,503481,4,Negative,On Time,2025-12-20 09:05:24,1084
600354,100916,500310,4,Positive,On Time,2025-01-09 13:31:02,2372
600355,102082,500348,4,Neutral,Delayed,2024-02-20 00:17:25,1324
600356,100065,503232,5,Neutral,On Time,2024-09-09 13:56:44,5925
600357,115394,502917,1,Positive,Slightly Delayed,2025-04-21 21:02:02,4930
600358,111960,503117,1,Positive,On Time,2025-12-15 07:09:35,2979
600359,113130,501372,2,Positive,On Time,2024-11-23 14:15:12,1112
600360,102118,500872,5,Positive,On Time,2025-03-03 13:18:48,371
600361,117229,500001,5,Positive,On Time,2024-10-26 11:39:02,5273
600362,106891,502421,3,Neutral,On Time,2025-02-27 10:58:54,1780
600363,110399,502825,5,Positive,On Time,2025-04-11 04:29:45,5755
600364,101166,502044,1,Positive,On Time,2025-01-28 15:08:25,4193
600365,109990,500654,5,Positive,On Time,2024-09-26 13:50:00,1640
600366,108597,500021,4,Neutral,Slightly Delayed,2024-03-02 19:39:47,1604
600367,101578,500088,3,Positive,On Time,2024-12-16 20:14:06,1692
600368,113237,500187,2,Neutral,Slightly Delayed,2024-06-03 16:07:43,5055
600369,105823,502598,1,Negative,Slightly Delayed,2025-07-06 13:37:04,4556
600370,108922,502299,5,Positive,Slightly Delayed,2024-02-21 15:12:09,5108
600371,108525,501425,5,Positive,Delayed,2025-08-09 10:22:02,1204
600372,113565,503498,3,Positive,Slightly Delayed,2024-02-18 21:41:41,2952
600373,106450,500324,4,Positive,Delayed,2024-09-25 23:44:35,3972
600374,100201,502943,3,Positive,Slightly Delayed,2025-04-27 06:50:38,1236
600375,116937,503200,5,Positive,On Time,2024-09-04 10:25:44,3112
600376,111523,502468,4,Positive,On Time,2025-01-08 16:11:34,2007
600377,115534,500606,1,Neutral,On Time,2025-07-24 21:50:56,4117
600378,103618,503205,4,Neutral,On Time,2025-05-08 09:08:59,2920
600379,114882,502131,5,Negative,Slightly Delayed,2024-07-09 20:00:28,1713
600380,106273,500429,2,Positive,On Time,2024-02-08 21:41:08,3560
600381,113150,500176,4,Positive,On Time,2025-07-26 15:38:54,1048
600382,101979,500715,4,Neutral,On Time,2025-03-21 00:00:26,2643
600383,111365,500771,2,Neutral,On Time,2024-05-14 19:18:43,1669
600384,117139,502129,5,Positive,On Time,2024-09-25 18:05:15,1711
