inventory_id,product_id,stock_received,stock_sold,damaged_stock,month,warehouse_city,closing_stock
900068,500984,561,363,16,2024-11,Pune,182
900069,501736,492,80,23,2024-03,Hyderabad,389
900070,501644,575,430,23,2024-08,Delhi,122
900071,502983,378,184,20,2025-09,Chennai,174
900072,503066,581,208,1,2024-09,Pune,372
900073,501638,123,327,7,2025-09,Kolkata,-211
900074,502823,379,97,8,2025-06,Chennai,274
900075,503476,325,156,3,2024-09,Kolkata,166
900076,501696,233,66,6,2024-04,Delhi,161
900077,502373,296,55,14,2024-04,Bangalore,227
900078,500419,544,345,21,2024-01,Hyderabad,178
900079,502181,425,401,15,2024-09,Mumbai,9
900080,501055,181,65,13,2025-12,Bangalore,103
900081,502976,599,51,23,2025-04,Chennai,525
900082,502693,360,135,1,2024-12,Chennai,224
900083,500503,340,123,1,2025-02,Delhi,216
900084,503136,566,217,8,2025-10,Hyderabad,341
900085,501975,126,329,12,2024-12,Kolkata,-215
900086,501731,133,84,3,2025-07,Mumbai,46
900087,501993,320,233,22,2024-01,Mumbai,65
900088,501478,230,445,23,2024-10,Pune,-238
900089,501961,574,173,5,2025-02,Mumbai,396
900090,502912,299,69,7,2025-09,Chennai,223
900091,500618,247,62,22,2025-10,Pune,163
900092,503296,318,205,9,2025-04,Pune,104
900093,500499,202,229,23,2024-06,Delhi,-50
900094,501214,187,141,19,2024-10,Mumbai,27
900095,502767,110,148,5,2024-07,Mumbai,-43
900096,501756,542,176,23,2025-03,Bangalore,343
900097,500617,196,124,4,2024-02,Delhi,68
900098,500738,463,108,0,2025-02,Mumbai,355
900099,501399,282,266,17,2024-01,Hyderabad,-1
900100,502589,331,347,22,2024-05,Hyderabad,-38
900101,503389,201,128,13,2024-02,Kolkata,60
900102,501363,545,272,9,2025-03,Hyderabad,264
900103,503456,142,102,16,2024-09,Chennai,24
900104,500628,146,225,11,2025-05,Hyderabad,-90
900105,500171,108,254,13,2024-05,Mumbai,-159
900106,500966,342,185,9,2024-02,Pune,148
900107,501905,258,280,6,2024-02,Hyderabad,-28
900108,502213,209,315,6,2025-03,Pune,-112
900109,502006,497,98,22,2025-04,Delhi,377
900110,500099,452,436,1,2024-11,Hyderabad,15
900111,500914,586,296,7,2024-09,Kolkata,283
900112,502591,140,314,0,2025-11,Mumbai,-174
900113,500429,356,150,24,2025-03,Mumbai,182
900114,500955,410,345,20,2025-07,Pune,45
900115,502079,406,243,13,2025-11,Pune,150
900116,501323,546,447,2,2025-11,Mumbai,97
900117,501109,547,265,20,2024-02,Chennai,262
900118,500461,391,164,11,2024-12,Mumbai,216
900119,503145,273,245,3,2025-03,Delhi,25
900120,501797,452,372,20,2025-06,Hyderabad,60
900121,502752,539,147,11,2025-01,Delhi,381
900122,503399,481,124,23,2024-04,Kolkata,334
900123,501489,118,225,7,2024-08,Chennai,-114
900124,502448,567,398,6,2025-02,Kolkata,163
900125,500209,208,138,0,2024-08,Delhi,70
900126,501394,279,184,15,2025-12,Mumbai,80
900127,501454,407,238,17,2025-05,Pune,152
900128,503271,274,264,7,2024-06,Bangalore,3
900129,501540,416,248,22,2025-03,Kolkata,146
900130,500544,255,262,9,2024-08,Pune,-16
900131,500559,320,136,24,2024-02,Delhi,160
900132,502030,387,414,9,2025-02,Bangalore,-36
900133,501341,344,117,9,2025-06,Chennai,218
900134,500277,468,215,14,2025-09,Bangalore,239
900135,500501,338,156,8,2025-11,Hyderabad,174
900136,500551,120,438,10,2025-12,Pune,-328
900137,503204,528,433,19,2025-05,Bangalore,76
900138,503145,522,437,8,2024-03,Bangalore,77
900139,502147,463,207,16,2025-01,Mumbai,240
900140,502315,515,392,12,2024-07,Chennai,111
900141,501798,370,375,16,2025-05,Chennai,-21
900142,502265,153,108,18,2025-02,Hyderabad,27
900143,501146,423,334,11,2024-01,Chennai,78
900144,500831,145,54,17,2024-08,Mumbai,74
900145,501906,447,322,18,2024-07,Kolkata,107
900146,501405,471,186,15,2024-07,Pune,270
900147,501982,170,200,1,2024-08,Mumbai,-31
900148,500135,592,428,10,2024-08,Bangalore,154
900149,502075,320,135,16,2025-05,Kolkata,169
900150,502704,392,306,10,2025-06,Kolkata,76
900151,500710,130,392,15,2024-06,Hyderabad,-277
900152,500834,477,315,7,2024-08,Pune,155
900153,502220,285,225,5,2024-08,Kolkata,55
900154,500228,378,412,6,2025-07,Chennai,-40
900155,500380,177,109,5,2025-12,Hyderabad,63
900156,502771,362,346,10,2024-12,Kolkata,6
900157,500380,419,91,13,2025-10,Hyderabad,315
900158,501517,220,247,10,2024-04,Pune,-37
900159,502796,103,111,4,2024-01,Delhi,-12
900160,500844,301,286,12,2025-09,Bangalore,3
900161,503082,590,59,15,2025-04,Kolkata,516
900162,501228,137,414,10,2024-12,Delhi,-287
900163,501776,107,196,7,2024-03,Hyderabad,-96
900164,500975,179,109,24,2024-08,Pune,46
900165,500157,204,357,10,2024-10,Mumbai,-163
900166,501513,512,50,6,2025-06,Kolkata,456
900167,500818,406,280,15,2025-08,Kolkata,111
900168,500580,549,231,9,2025-03,Bangalore,309
900169,500907,503,199,0,2025-10,Bangalore,304
900170,501149,397,423,21,2024-02,Mumbai,-47
900171,503025,287,291,5,2025-02,Bangalore,-9
900172,502781,296,320,8,2025-05,Hyderabad,-32
900173,500180,334,197,12,2025-11,Chennai,125
900174,501768,247,313,0,2025-10,Kolkata,-66
900175,500666,182,351,24,2025-08,Bangalore,-193
900176,502610,268,155,15,2024-11,Bangalore,98
900177,500120,131,359,12,2024-07,Chennai,-240
900178,502731,423,173,1,2025-01,Delhi,249
900179,503305,526,64,24,2025-12,Hyderabad,438
900180,502342,430,174,3,2025-10,Pune,253
900181,500478,537,245,21,2024-07,Mumbai,271
900182,502146,263,191,8,2024-06,Mumbai,64
900183,501003,575,119,6,2025-05,Hyderabad,450
900184,503318,558,131,13,2024-08,Mumbai,414
900185,501709,527,257,0,2024-05,Kolkata,270
900186,500240,191,201,19,2025-06,Chennai,-29
900187,502738,564,84,3,2025-08,Delhi,477
900188,500272,345,127,3,2024-04,Pune,215
900189,501943,268,220,8,2025-06,Mumbai,40
900190,502460,247,437,13,2025-08,Bangalore,-203
900191,501909,170,123,5,2025-08,Mumbai,42
900192,502559,433,342,24,2025-09,Mumbai,67
900193,501775,487,215,0,2025-05,Chennai,272
900194,502634,468,179,2,2024-01,Delhi,287
900195,501219,395,247,23,2024-12,Pune,125
900196,502654,435,104,8,2024-07,Mumbai,323
900197,501291,435,255,17,2024-06,Mumbai,163
900198,503457,586,207,5,2025-04,Hyderabad,374
900199,501623,140,399,7,2025-04,Chennai,-266
900200,503229,542,204,14,2024-03,Mumbai,324
900201,503484,243,125,19,2024-09,Kolkata,99
900202,502078,568,365,0,2024-10,Chennai,203
900203,500295,383,440,8,2024-06,Pune,-65
900204,501700,266,446,10,2024-02,Pune,-190
900205,502511,422,311,10,2025-07,Chennai,101
900206,502628,125,364,14,2025-09,Pune,-253
900207,500757,545,164,11,2025-03,Kolkata,370
900208,500444,184,203,2,2025-01,Mumbai,-21
900209,501518,324,327,2,2025-01,Hyderabad,-5
900210,501069,194,191,9,2024-01,Kolkata,-6
900211,501363,504,226,1,2025-02,Kolkata,277
900212,500559,183,148,24,2025-10,Pune,11
900213,501758,478,138,8,2025-12,Delhi,332
900214,502070,145,97,14,2024-02,Delhi,34
900215,500427,582,127,1,2024-06,Delhi,454
900216,503287,484,262,15,2024-06,Delhi,207
900217,500344,280,429,20,2025-02,Mumbai,-169
900218,500676,299,348,10,2025-11,Mumbai,-59
900219,500988,308,90,15,2025-01,Delhi,203
900220,502762,270,305,22,2024-03,Bangalore,-57
900221,500667,200,74,6,2024-07,Kolkata,120
900222,502068,327,438,8,2024-03,Mumbai,-119
900223,502702,375,305,14,2024-08,Kolkata,56
900224,503443,163,391,10,2024-10,Mumbai,-238
900225,500357,449,88,16,2024-02,Delhi,345
900226,502928,142,104,21,2025-03,Kolkata,17
900227,501502,348,53,22,2024-05,Mumbai,273
900228,502747,505,208,1,2025-07,Hyderabad,296
900229,500248,429,342,7,2024-02,Delhi,80
900230,500988,488,85,7,2025-06,Kolkata,396
900231,503487,199,286,20,2025-07,Bangalore,-107
900232,501006,384,378,8,2024-04,Bangalore,-2
900233,502827,592,325,9,2025-09,Mumbai,258
900234,503393,516,246,24,2024-04,Pune,246
900235,502937,156,359,6,2025-05,Kolkata,-209
900236,500615,539,200,18,2024-11,Hyderabad,321
900237,502186,249,324,7,2024-11,Chennai,-82
900238,503126,447,113,17,2025-02,Bangalore,317
900239,500249,581,176,19,2025-04,Bangalore,386
900240,501215,541,252,1,2024-07,Hyderabad,288
900241,500064,414,191,1,2024-03,Bangalore,222
900242,500259,438,207,24,2025-01,Pune,207
900243,500193,409,287,3,2024-08,Kolkata,119
900244,500263,586,190,4,2024-02,Kolkata,392
900245,500572,447,166,9,2025-04,Chennai,272
900246,500879,179,189,14,2024-12,Kolkata,-24
900247,501429,461,234,2,2024-07,Chennai,225
900248,500490,256,323,8,2025-08,Hyderabad,-75
900249,502806,330,381,15,2025-01,Chennai,-66
900250,503137,581,429,6,2024-01,Chennai,146
900251,500001,149,105,6,2025-02,Kolkata,38
900252,501207,154,136,18,2024-04,Pune,0
900253,502729,522,372,10,2024-10,Pune,140
900254,500789,254,100,3,2025-06,Chennai,151
900255,503170,257,360,24,2024-06,Delhi,-127
900256,502884,303,390,21,2025-06,Bangalore,-108
900257,501621,415,347,22,2025-02,Chennai,46
900258,502183,373,422,7,2025-12,Kolkata,-56
900259,501491,194,303,0,2024-12,Kolkata,-109
900260,502940,277,226,16,2025-08,Hyderabad,35
900261,501656,283,136,16,2024-10,Bangalore,131
900262,501041,451,436,20,2024-10,Chennai,-5
900263,502961,229,235,2,2025-02,Kolkata,-8
900264,500629,235,99,23,2024-10,Bangalore,113
900265,500733,477,366,8,2024-05,Pune,103
900266,501471,376,57,16,2025-12,Pune,303
900267,501060,526,89,23,2025-12,Hyderabad,414
900268,502011,136,395,21,2024-09,Bangalore,-280
900269,503016,476,386,16,2024-04,Kolkata,74
900270,500718,588,73,2,2024-07,Delhi,513
900271,500245,552,306,16,2024-11,Delhi,230
900272,502470,403,442,10,2024-10,Bangalore,-49
900273,501927,248,445,17,2024-04,Mumbai,-214
900274,501865,306,335,10,2024-08,Mumbai,-39
900275,503114,388,351,0,2024-08,Bangalore,37
900276,502206,188,256,6,2024-08,Mumbai,-74
900277,502658,174,358,10,2025-02,Pune,-194
900278,501757,551,353,20,2024-02,Bangalore,178
900279,501336,464,340,24,2025-07,Kolkata,100
900280,503441,110,411,2,2025-11,Delhi,-303
900281,500326,306,99,20,2024-07,Kolkata,187
900282,500333,566,396,17,2025-06,Mumbai,153
900283,502464,123,125,4,2024-01,Hyderabad,-6
900284,501449,578,340,22,2024-11,Bangalore,216
900285,502675,144,442,21,2025-09,Kolkata,-319
900286,500026,221,217,8,2024-07,Mumbai,-4
900287,501975,561,319,20,2024-03,Hyderabad,222
900288,502638,434,243,19,2024-08,Kolkata,172
900289,500998,425,326,12,2024-02,Kolkata,87
900290,502550,559,147,21,2025-04,Chennai,391
900291,501985,283,190,6,2024-11,Hyderabad,87
900292,501180,421,328,1,2024-03,Delhi,92
900293,503122,204,434,7,2024-03,Kolkata,-237
900294,501329,464,287,13,2024-11,Mumbai,164
900295,500048,148,284,9,2024-08,Chennai,-145
900296,501113,525,59,7,2024-12,Pune,459
900297,500261,497,217,11,2024-07,Delhi,269
900298,502544,516,243,9,2025-10,Pune,264
900299,501389,573,369,8,2024-06,Delhi,196
900300,502666,584,172,12,2025-01,Delhi,400
900301,502044,247,100,12,2025-09,Delhi,135
900302,501504,474,176,6,2025-03,Kolkata,292
900303,503145,217,67,7,2024-01,Chennai,143
900304,502195,220,263,10,2025-05,Bangalore,-53
900305,502853,475,254,4,2025-09,Mumbai,217
900306,500794,158,123,19,2025-12,Bangalore,16
900307,502509,307,204,16,2024-02,Mumbai,87
900308,502350,498,334,13,2024-10,Pune,151
900309,501963,537,179,11,2024-02,Delhi,347
900310,501982,401,270,13,2025-03,Hyderabad,118
900311,500653,264,61,12,2025-10,Chennai,191
900312,501205,451,448,13,2025-03,Mumbai,-10
900313,502309,329,386,19,2025-11,Bangalore,-76
900314,501691,424,143,13,2025-02,Bangalore,268
900315,500654,269,274,16,2024-04,Bangalore,-21
900316,501040,453,414,0,2025-10,Chennai,39
900317,500312,296,234,14,2025-06,Delhi,48
900318,501249,385,306,0,2025-11,Kolkata,79
900319,501920,396,308,7,2025-07,Chennai,81
900320,503438,184,431,12,2024-03,Kolkata,-259
900321,501780,286,222,7,2025-07,Delhi,57
900322,500516,200,122,3,2025-06,Mumbai,75
900323,502431,447,317,16,2025-08,Delhi,114
900324,503440,331,415,4,2025-09,Pune,-88
900325,502711,147,388,13,2025-01,Pune,-254
900326,500832,233,159,6,2024-05,Kolkata,68
900327,500432,146,388,3,2025-03,Delhi,-245
900328,500409,498,306,14,2025-05,Kolkata,178
900329,502834,100,254,16,2025-10,Kolkata,-170
900330,501098,504,178,24,2024-11,Mumbai,302
900331,502516,460,118,12,2024-12,Kolkata,330
900332,501219,496,376,2,2024-12,Delhi,118
900333,502526,398,398,18,2025-05,Kolkata,-18
900334,501315,463,242,18,2025-11,Kolkata,203
900335,503191,470,421,22,2025-05,Bangalore,27
900336,503106,357,61,0,2025-03,Pune,296
900337,503256,504,250,23,2025-09,Chennai,231
900338,501777,311,151,11,2025-07,Chennai,149
900339,503027,372,158,23,2024-02,Kolkata,191
900340,500151,364,414,7,2024-04,Pune,-57
900341,500254,444,78,1,2025-06,Bangalore,365
900342,500170,540,327,5,2025-07,Hyderabad,208
900343,500458,562,277,16,2024-02,Bangalore,269
900344,503167,532,122,2,2024-09,Kolkata,408
900345,502871,419,241,2,2025-02,Bangalore,176
900346,500564,336,376,14,2024-12,Bangalore,-54
900347,502995,166,199,19,2025-05,Hyderabad,-52
900348,501548,328,313,4,2024-11,Kolkata,11
900349,500622,263,229,23,2025-10,Pune,11
900350,502927,260,126,4,2024-01,Pune,130
900351,500133,519,188,9,2024-10,Mumbai,322
900352,502167,168,197,18,2024-09,Mumbai,-47
900353,502387,263,349,16,2025-12,Bangalore,-102
900354,502071,573,67,4,2025-10,Bangalore,502
900355,501966,238,104,6,2025-04,Delhi,128
900356,503484,442,222,18,2025-05,Kolkata,202
900357,502337,183,258,6,2025-12,Mumbai,-81
900358,503260,435,79,24,2025-08,Delhi,332
900359,501235,162,229,15,2024-09,Bangalore,-82
900360,501657,391,78,7,2025-08,Delhi,306
900361,500767,540,229,12,2024-09,Pune,299
900362,502582,153,411,16,2025-05,Mumbai,-274
900363,501814,339,178,11,2024-10,Pune,150
900364,500148,524,68,1,2025-08,Pune,455
900365,503316,184,269,5,2025-01,Kolkata,-90
900366,500281,529,363,7,2024-10,Delhi,159
900367,501119,200,440,12,2025-08,Kolkata,-252
900368,502135,174,353,20,2025-08,Pune,-199
900369,500615,235,322,24,2024-09,Delhi,-111
900370,500034,334,215,10,2025-08,Delhi,109
900371,500119,122,141,3,2025-11,Delhi,-22
900372,501004,378,314,11,2025-08,Mumbai,53
900373,502982,161,284,9,2024-07,Kolkata,-132
900374,503043,129,102,9,2025-07,Kolkata,18
900375,501902,118,407,24,2024-04,Bangalore,-313
900376,502680,412,235,12,2025-04,Kolkata,165
900377,500003,439,377,8,2025-07,Kolkata,54
900378,501316,411,126,10,2025-03,Delhi,275
900379,502536,455,434,4,2025-07,Hyderabad,17
900380,502026,501,140,4,2025-09,Kolkata,357
900381,503427,183,128,9,2025-06,Kolkata,46
900382,501154,312,266,24,2024-10,Kolkata,22
900383,503373,338,278,15,2025-06,Kolkata,45
900384,500565,587,145,19,2024-01,Kolkata,423
900385,502407,585,448,23,2024-11,Hyderabad,114
900386,501494,595,139,6,2024-07,Delhi,450
900387,500332,460,186,17,2025-05,Chennai,257
900388,501831,367,101,9,2025-03,Kolkata,257
900389,502910,288,310,9,2025-11,Hyderabad,-31
900390,501233,102,243,22,2024-12,Kolkata,-163
900391,500554,437,112,8,2024-12,Pune,317
900392,501831,122,357,0,2025-06,Delhi,-235
900393,503364,295,424,16,2024-02,Bangalore,-145
900394,502123,314,221,10,2024-08,Kolkata,83
900395,501212,271,273,4,2024-08,Chennai,-6
900396,501232,365,265,22,2025-11,Chennai,78
900397,503192,158,325,12,2024-02,Delhi,-179
900398,501743,270,62,0,2024-10,Chennai,208
900399,500289,190,141,8,2025-01,Hyderabad,41
900400,501682,570,177,12,2024-06,Delhi,381
900401,501161,563,50,14,2024-12,Hyderabad,499
900402,502478,459,258,3,2024-02,Mumbai,198
900403,500202,557,215,12,2025-09,Kolkata,330
900404,502588,267,226,13,2024-06,Mumbai,28
900405,502356,466,434,20,2025-12,Delhi,12
900406,502176,260,380,20,2025-05,Chennai,-140
900407,500534,221,209,22,2025-04,Kolkata,-10
900408,502421,491,73,11,2025-06,Chennai,407
900409,502345,332,329,11,2024-12,Delhi,-8
900410,500990,522,399,1,2025-09,Hyderabad,122
900411,500565,365,141,4,2024-09,Bangalore,220
900412,502874,558,146,6,2024-10,Delhi,406
900413,501517,416,75,18,2024-11,Bangalore,323
900414,500468,118,449,6,2024-08,Delhi,-337
900415,503335,176,254,13,2025-10,Hyderabad,-91
900416,501281,123,194,9,2024-06,Bangalore,-80
900417,502449,150,125,2,2024-12,Kolkata,23
900418,500922,348,411,23,2025-05,Pune,-86
900419,502478,209,146,14,2025-03,Bangalore,49
900420,503368,134,223,15,2025-01,Mumbai,-104
900421,502060,562,244,16,2025-11,Pune,302
900422,502365,195,273,8,2025-02,Pune,-86
900423,501360,331,191,23,2024-02,Mumbai,117
900424,502658,547,423,13,2025-04,Delhi,111
900425,502636,382,250,3,2025-10,Mumbai,129
900426,500765,573,88,21,2024-12,Bangalore,464
900427,503074,569,161,5,2025-05,Pune,403
900428,503419,331,338,0,2025-05,Pune,-7
900429,503229,179,225,23,2024-04,Pune,-69
900430,500736,184,183,19,2024-02,Delhi,-18
900431,502533,224,169,8,2024-08,Bangalore,47
900432,500326,540,113,15,2024-03,Mumbai,412
900433,501646,511,321,5,2024-06,Delhi,185
900434,503204,140,67,8,2024-03,Pune,65
900435,501860,498,318,11,2025-11,Bangalore,169
900436,503065,257,284,1,2024-10,Kolkata,-28
900437,503351,524,253,5,2025-07,Pune,266
900438,501945,325,273,18,2024-04,Hyderabad,34
900439,501905,439,292,20,2024-11,Chennai,127
900440,502962,413,213,8,2025-09,Chennai,192
900441,501044,172,97,18,2025-10,Bangalore,57
900442,502134,563,310,7,2024-04,Bangalore,246
900443,500180,556,109,21,2024-01,Mumbai,426
900444,502292,425,131,0,2024-02,Bangalore,294
900445,502193,382,184,14,2025-07,Chennai,184
900446,501773,571,356,15,2025-09,Hyderabad,200
900447,502361,250,365,24,2025-12,Hyderabad,-139
900448,502615,225,312,0,2025-07,Bangalore,-87
900449,503277,126,374,13,2025-10,Kolkata,-261
900450,502136,515,155,3,2025-11,Mumbai,357
900451,503467,463,314,5,2024-04,Mumbai,144
900452,502786,376,278,2,2024-05,Delhi,96
900453,502460,256,268,3,2025-08,Kolkata,-15
900454,500674,346,269,23,2024-09,Chennai,54
900455,502318,501,144,14,2025-08,Delhi,343
900456,502991,176,281,10,2025-08,Mumbai,-115
900457,500527,228,357,12,2024-06,Kolkata,-141
900458,501277,498,90,14,2025-01,Chennai,394
900459,502256,420,57,23,2024-04,Chennai,340
900460,500657,494,309,3,2025-10,Mumbai,182
900461,501188,365,447,24,2025-10,Bangalore,-106
900462,503465,442,255,24,2024-08,Kolkata,163
900463,502556,185,56,10,2024-04,Bangalore,119
900464,501828,322,224,5,2025-02,Hyderabad,93
900465,501331,504,115,17,2025-07,Pune,372
900466,501068,286,175,23,2024-11,Pune,88
900467,501431,215,74,2,2025-08,Pune,139
900468,502950,193,69,11,2025-02,Mumbai,113
900469,500881,492,433,21,2025-08,Delhi,38
900470,500860,254,265,22,2025-03,Delhi,-33
900471,503160,276,220,7,2025-02,Pune,49
900472,503337,599,302,0,2024-07,Pune,297
900473,500855,300,353,10,2024-09,Bangalore,-63
900474,502740,486,176,16,2024-08,Pune,294
900475,500305,401,157,8,2024-05,Pune,236
900476,501954,522,99,0,2024-01,Kolkata,423
900477,500874,571,235,21,2024-12,Hyderabad,315
900478,502225,206,200,20,2025-09,Hyderabad,-14
900479,500928,394,117,22,2025-12,Kolkata,255
900480,501854,241,156,23,2024-04,Hyderabad,62
900481,503156,574,377,14,2024-04,Bangalore,183
900482,501483,575,238,13,2024-09,Pune,324
900483,500187,296,438,11,2025-06,Bangalore,-153
900484,500220,546,242,6,2024-10,Hyderabad,298
900485,500286,307,269,20,2024-06,Hyderabad,18
900486,503021,112,77,15,2024-03,Bangalore,20
900487,500863,356,325,22,2025-10,Bangalore,9
900488,501761,419,172,24,2024-02,Bangalore,223
900489,503260,498,250,16,2024-07,Delhi,232
900490,501719,171,59,11,2024-11,Hyderabad,101
900491,503412,209,216,20,2024-04,Kolkata,-27
900492,501427,102,283,3,2024-09,Hyderabad,-184
900493,503136,567,365,0,2025-04,Mumbai,202
900494,500513,399,365,20,2025-02,Bangalore,14
900495,501575,122,93,24,2025-09,Mumbai,5
900496,503412,471,354,13,2025-08,Delhi,104
900497,502238,584,231,12,2025-11,Bangalore,341
900498,502020,528,361,0,2025-03,Pune,167
900499,502279,438,74,17,2025-06,Pune,347
900500,502767,345,433,8,2024-10,Kolkata,-96
900501,501798,487,425,6,2025-03,Mumbai,56
900502,502884,259,372,14,2025-12,Kolkata,-127
900503,501472,128,116,8,2024-07,Kolkata,4
900504,501783,535,235,10,2024-02,Delhi,290
900505,502742,334,169,5,2024-09,Kolkata,160
900506,500645,128,260,18,2025-10,Mumbai,-150
900507,500846,258,103,17,2024-09,Delhi,138
900508,500480,342,67,24,2025-11,Kolkata,251
900509,501100,118,174,18,2024-05,Delhi,-74
900510,501705,227,237,2,2024-12,Chennai,-12
900511,502693,125,103,17,2024-06,Hyderabad,5
900512,501792,137,200,22,2024-10,Pune,-85
900513,503266,322,92,12,2025-02,Delhi,218
900514,501147,423,345,14,2024-10,Kolkata,64
900515,501580,542,400,13,2024-01,Mumbai,129
900516,503377,484,50,24,2025-02,Chennai,410
900517,503057,251,379,14,2024-01,Pune,-142
900518,501168,125,222,21,2024-12,Kolkata,-118
900519,502107,461,141,17,2025-08,Mumbai,303
900520,500068,218,128,17,2024-06,Kolkata,73
900521,501239,576,233,13,2024-02,Delhi,330
900522,502004,423,312,7,2025-07,Chennai,104
900523,501613,585,364,1,2025-07,Chennai,220
900524,502168,368,196,20,2025-02,Mumbai,152
900525,502955,464,125,13,2024-02,Hyderabad,326
900526,500461,383,133,7,2025-06,Mumbai,243
900527,501921,109,199,2,2025-08,Delhi,-92
900528,502001,422,229,9,2025-11,Pune,184
900529,502149,151,257,7,2025-08,Mumbai,-113
900530,503453,426,225,8,2025-03,Chennai,193
900531,502904,111,244,5,2024-02,Kolkata,-138
900532,500512,275,168,3,2025-01,Hyderabad,104
900533,502699,597,152,2,2025-01,Delhi,443
900534,501702,514,121,8,2024-03,Bangalore,385
900535,500356,129,94,17,2024-05,Mumbai,18
900536,500275,384,111,13,2024-05,Pune,260
900537,503244,336,152,11,2025-12,Kolkata,173
900538,500245,185,358,7,2024-12,Delhi,-180
900539,500143,372,216,9,2024-10,Chennai,147
900540,501207,391,416,15,2025-10,Mumbai,-40
900541,500788,331,71,5,2025-12,Mumbai,255
900542,502665,317,197,19,2024-08,Pune,101
900543,503209,277,299,8,2025-10,Delhi,-30
900544,502117,467,444,13,2024-11,Delhi,10
900545,501215,490,83,3,2024-08,Chennai,404
900546,500362,497,219,20,2025-09,Chennai,258
900547,502396,442,184,5,2024-05,Chennai,253
900548,502380,520,160,8,2025-10,Kolkata,352
900549,503258,388,244,2,2025-06,Mumbai,142
900550,500287,108,179,4,2024-03,Bangalore,-75
900551,500872,272,428,15,2024-06,Hyderabad,-171
900552,502426,178,401,15,2025-11,Kolkata,-238
900553,501344,413,63,24,2025-12,Delhi,326
900554,502588,414,153,13,2025-12,Bangalore,248
900555,502724,402,260,0,2025-03,Hyderabad,142
900556,502964,414,425,21,2024-11,Chennai,-32
900557,501892,471,53,22,2024-01,Delhi,396
900558,500671,518,421,22,2024-01,Mumbai,75
900559,501541,529,176,17,2024-03,Delhi,336
