order_id,customer_id,product_id,order_date,quantity,payment_method,order_status,city,revenue,cost,profit
700025,105070,502665,2025-10-05 19:58:43,2,Wallet,Delivered,Kolkata,524.26,368,156.26
700026,104905,501121,2025-09-20 03:44:37,2,Cash,Delivered,Kolkata,4356.64,3132,1224.6400000000003
700027,117059,500469,2024-09-17 16:34:55,2,Wallet,Cancelled,Chennai,4076.72,2962,1114.7199999999998
700028,101119,503315,2024-04-11 00:54:05,3,Card,Delivered,Pune,10429.23,7128,3301.2299999999996
700029,116947,500331,2025-08-15 05:17:54,1,Cash,Delivered,Mumbai,3059.34,2347,712.3400000000001
700030,106633,501452,2025-09-04 11:41:39,3,Cash,Cancelled,Kolkata,1303.83,972,331.8299999999999
700031,109665,502870,2025-11-14 09:59:52,2,Card,Delivered,Hyderabad,955.56,752,203.55999999999995
700032,103916,503322,2024-11-01 06:36:53,3,UPI,Delivered,Hyderabad,2769.84,2169,600.8400000000001
700033,104254,503026,2025-08-19 16:08:24,4,UPI,Delivered,Mumbai,10966.96,8776,2190.959999999999
700034,112800,500183,2024-04-16 00:15:44,2,Cash,Delivered,Bangalore,2608.82,1938,670.8200000000002
700035,114779,501567,2024-03-23 15:57:54,4,Wallet,Delivered,Chennai,11021.72,8764,2257.7199999999993
700036,110092,501649,2025-12-06 00:41:46,2,UPI,Delivered,Delhi,2021.58,1662,359.5799999999999
700037,105259,500152,2025-12-01 21:10:07,2,Cash,Delivered,Chennai,5103.36,4054,1049.3599999999997
700038,112225,501235,2024-11-19 15:15:27,4,Wallet,Returned,Kolkata,3098.6,2204,894.5999999999999
700039,109376,502399,2025-10-06 14:04:59,1,Card,Delivered,Hyderabad,930.19,741,189.19000000000005
700040,109171,502676,2024-07-08 16:23:02,2,Cash,Delivered,Hyderabad,6167.94,4622,1545.9399999999996
700041,106789,501532,2025-04-18 23:10:55,2,UPI,Delivered,Hyderabad,5230.4,3552,1678.3999999999996
700042,110404,500906,2024-03-08 12:14:25,4,Card,Delivered,Bangalore,4225.36,3052,1173.3599999999997
700043,113679,502948,2024-03-14 22:24:29,2,Card,Delivered,Hyderabad,1359.82,938,421.81999999999994
700044,114302,502137,2024-11-08 14:18:23,2,Card,Delivered,Chennai,3820.5,2666,1154.5
700045,114883,500289,2025-05-08 11:36:04,3,Cash,Returned,Chennai,8388.69,6564,1824.6900000000005
700046,116406,503373,2024-10-06 14:33:22,2,Wallet,Delivered,Hyderabad,2345.9,1622,723.9000000000001
700047,111745,501482,2024-03-13 13:36:58,4,Cash,Returned,Mumbai,2929.24,2040,889.2399999999998
700048,113537,503127,2025-04-26 18:48:19,2,Card,Delivered,Hyderabad,3511.06,2692,819.06
700049,115980,500197,2025-10-23 13:37:41,3,Wallet,Cancelled,Bangalore,7819.89,6258,1561.8900000000003
700050,101369,501737,2025-09-17 06:55:38,3,UPI,Delivered,Hyderabad,4807.41,3663,1144.4099999999999
700051,108682,502167,2024-06-23 09:33:05,4,Cash,Delivered,Pune,2284.0,1888,396.0
700052,114626,502092,2025-05-23 23:45:00,4,Wallet,Delivered,Mumbai,8335.0,5796,2539.0
700053,116137,503143,2025-11-29 12:00:08,3,Wallet,Delivered,Delhi,3203.34,2448,755.3400000000001
700054,112702,500598,2024-04-08 11:22:59,4,UPI,Delivered,Mumbai,3248.52,2408,840.52
700055,108226,501605,2024-08-21 01:07:32,3,Card,Returned,Chennai,5570.1900000000005,4107,1463.1900000000005
700056,117750,502454,2025-01-08 14:03:14,4,Card,Delivered,Hyderabad,10754.44,7512,3242.4400000000005
700057,111677,500349,2024-09-26 21:28:16,4,Wallet,Delivered,Chennai,7244.6,5496,1748.6000000000004
700058,110804,500037,2025-05-03 22:31:49,3,Cash,Delivered,Chennai,8473.83,7038,1435.83
700059,100787,503373,2025-04-15 16:23:32,3,UPI,Delivered,Bangalore,3518.8500000000004,2433,1085.8500000000004
700060,108495,500225,2025-03-09 13:25:23,4,Wallet,Delivered,Chennai,7797.32,5232,2565.3199999999997
700061,104053,501212,2024-04-16 02:37:36,1,UPI,Cancelled,Kolkata,3075.67,2071,1004.6700000000001
700062,102269,500537,2025-07-06 21:33:48,2,Card,Delivered,Chennai,5162.04,4170,992.04
700063,104840,500424,2025-02-12 00:15:13,3,Card,Delivered,Kolkata,6204.719999999999,4221,1983.7199999999993
700064,100073,501500,2025-10-08 17:17:22,4,Wallet,Delivered,Delhi,8464.24,5656,2808.24
700065,105077,501164,2025-03-20 01:53:03,2,Wallet,Delivered,Kolkata,2563.72,1812,751.7199999999998
700066,109157,503305,2024-06-04 11:11:03,4,Card,Delivered,Pune,9749.6,7420,2329.6000000000004
700067,110074,502112,2024-07-12 14:08:17,3,UPI,Cancelled,Mumbai,5716.29,3921,1795.29
700068,101854,503196,2025-09-23 15:03:54,4,Card,Delivered,Bangalore,11758.92,9728,2030.92
700069,109556,500603,2024-09-14 19:43:45,2,UPI,Delivered,Mumbai,4018.18,2956,1062.1799999999998
700070,113965,502875,2025-06-11 07:50:06,3,Wallet,Delivered,Chennai,8423.7,6315,2108.7000000000007
700071,114694,502019,2024-11-15 06:00:45,4,UPI,Delivered,Pune,5632.96,3976,1656.96
700072,100136,502973,2024-03-06 10:29:36,2,Cash,Returned,Mumbai,6152.8,4224,1928.8000000000002
700073,111235,502837,2024-04-07 05:36:18,1,UPI,Delivered,Delhi,210.74,162,48.74000000000001
700074,109799,501066,2025-04-19 23:22:35,2,UPI,Delivered,Mumbai,5048.3,3948,1100.3000000000002
700075,101185,503227,2024-09-25 18:35:46,3,Cash,Delivered,Chennai,1326.84,951,375.8399999999999
700076,102654,500559,2024-04-16 14:12:40,2,Wallet,Delivered,Hyderabad,2661.4,1838,823.4000000000001
700077,113454,502850,2025-05-17 19:04:31,2,Cash,Delivered,Hyderabad,1498.68,1200,298.68000000000006
700078,101990,503215,2024-06-05 06:57:09,4,UPI,Delivered,Chennai,11282.56,7592,3690.5599999999995
700079,101214,500570,2024-05-24 22:47:24,2,Card,Delivered,Mumbai,3655.52,3002,653.52
700080,112434,502638,2025-07-14 00:14:24,4,Card,Delivered,Pune,4342.44,3464,878.4399999999996
700081,108133,501473,2025-05-14 10:38:58,2,UPI,Cancelled,Mumbai,2091.94,1454,637.94
700082,106730,502228,2025-12-02 17:01:09,4,Cash,Delivered,Mumbai,1673.88,1212,461.8800000000001
700083,110590,502429,2025-04-11 09:13:45,3,Cash,Returned,Chennai,6700.89,4548,2152.8900000000003
700084,110233,503214,2024-10-30 15:01:52,2,Wallet,Delivered,Hyderabad,2402.24,1712,690.2399999999998
700085,106523,502017,2025-11-17 14:12:14,3,Card,Delivered,Delhi,4038.6000000000004,3066,972.6000000000004
700086,102768,501403,2024-01-02 03:38:19,1,UPI,Delivered,Hyderabad,2708.93,2071,637.9299999999998
700087,111959,503429,2024-03-20 01:22:50,2,Card,Delivered,Mumbai,6574.64,4458,2116.6400000000003
700088,106177,501988,2025-11-30 08:10:21,4,UPI,Returned,Chennai,9159.76,7280,1879.7600000000002
700089,112254,502990,2024-01-25 01:31:10,4,Cash,Cancelled,Delhi,9762.44,7156,2606.4400000000005
700090,115479,501316,2025-10-29 10:07:40,3,UPI,Delivered,Bangalore,9455.19,6609,2846.1900000000005
700091,100231,500996,2024-04-14 08:05:22,4,Card,Delivered,Chennai,8242.2,5528,2714.2000000000007
700092,109657,503232,2024-04-20 06:27:58,4,Wallet,Delivered,Delhi,9612.32,7020,2592.3199999999997
700093,112466,502492,2024-12-14 06:57:12,3,Card,Delivered,Delhi,7681.86,5436,2245.8599999999997
700094,106878,500146,2025-07-21 06:25:08,2,UPI,Delivered,Bangalore,5251.48,3562,1689.4799999999996
700095,103593,501641,2025-01-09 18:33:57,4,UPI,Delivered,Mumbai,2472.8,1908,564.8000000000002
700096,116093,501505,2025-07-22 14:37:47,3,Card,Delivered,Pune,8447.880000000001,5697,2750.880000000001
700097,108082,501737,2025-02-27 20:22:23,4,UPI,Delivered,Delhi,6409.88,4884,1525.88
700098,100872,500309,2024-10-16 11:37:54,2,Card,Delivered,Kolkata,1310.22,1022,288.22
700099,114087,503328,2024-10-11 05:44:37,1,Cash,Delivered,Bangalore,1398.75,1165,233.75
700100,104128,500952,2024-05-27 04:54:28,3,UPI,Delivered,Mumbai,782.31,645,137.30999999999995
700101,113951,503146,2025-01-20 05:21:25,3,Wallet,Delivered,Delhi,2477.52,1776,701.52
700102,106744,501935,2024-02-03 15:44:29,2,Wallet,Delivered,Bangalore,6240.94,4598,1642.9399999999996
700103,113902,502608,2024-01-26 10:50:18,4,UPI,Delivered,Chennai,9719.56,6976,2743.5599999999995
700104,105794,500999,2025-08-08 22:18:05,3,UPI,Delivered,Bangalore,2315.61,1833,482.6100000000001
700105,115799,500151,2024-06-12 04:15:07,4,Card,Cancelled,Hyderabad,8511.76,6460,2051.76
700106,110547,503296,2024-03-04 17:02:31,2,Card,Returned,Pune,3681.52,3046,635.52
700107,109145,500580,2025-01-26 04:47:56,4,Cash,Delivered,Kolkata,6501.44,4804,1697.4399999999996
700108,100385,500223,2025-01-06 15:23:23,1,Card,Delivered,Mumbai,1217.82,975,242.81999999999994
700109,107757,500779,2025-02-27 05:54:05,1,UPI,Delivered,Mumbai,3605.16,2488,1117.1599999999999
700110,116054,500737,2024-06-21 12:24:09,2,Wallet,Delivered,Mumbai,2604.26,2152,452.2600000000002
700111,103399,502369,2024-12-09 05:38:17,3,Wallet,Delivered,Hyderabad,4048.9500000000003,2859,1189.9500000000003
700112,113481,501415,2025-01-20 08:48:43,3,Cash,Delivered,Mumbai,1887.33,1371,516.3299999999999
700113,107696,503331,2024-11-01 13:58:55,4,Cash,Delivered,Hyderabad,9553.68,6404,3149.6800000000003
700114,109503,502977,2024-08-12 17:36:42,1,Cash,Returned,Hyderabad,1681.89,1294,387.8900000000001
700115,114068,500555,2025-03-12 03:51:45,2,Cash,Returned,Delhi,2478.26,2018,460.2600000000002
700116,109238,501451,2025-06-14 14:02:49,3,Card,Delivered,Pune,5600.82,4494,1106.8199999999997
700117,100877,502692,2025-07-03 01:01:33,2,Cash,Delivered,Delhi,1988.58,1374,614.5799999999999
700118,103548,502305,2025-08-19 17:17:00,3,Cash,Delivered,Bangalore,7062.6900000000005,5697,1365.6900000000005
700119,108868,500540,2025-12-19 08:44:28,4,UPI,Delivered,Pune,5854.4,4772,1082.3999999999996
700120,111414,500916,2024-03-09 09:27:56,3,UPI,Delivered,Mumbai,3548.7300000000005,2631,917.7300000000005
700121,101591,500120,2024-10-30 01:28:21,3,Wallet,Delivered,Bangalore,10601.64,7380,3221.6399999999994
700122,115204,500448,2025-05-01 10:55:38,2,Wallet,Delivered,Bangalore,3396.04,2328,1068.04
700123,104529,501562,2025-10-26 19:20:22,1,Cash,Delivered,Hyderabad,667.95,516,151.95000000000005
700124,117270,502893,2025-11-08 22:11:07,3,Cash,Delivered,Pune,1112.85,753,359.8499999999999
700125,108247,500330,2024-05-21 21:29:26,2,UPI,Delivered,Pune,5527.04,4142,1385.04
700126,117847,502687,2025-03-09 10:52:44,4,Wallet,Delivered,Hyderabad,11376.56,9416,1960.5599999999995
700127,117080,501185,2024-05-10 12:36:52,1,Cash,Returned,Pune,3271.08,2372,899.0799999999999
700128,113995,502425,2025-05-04 06:48:37,1,Card,Delivered,Bangalore,3021.93,2356,665.9299999999998
700129,115805,501579,2024-02-29 07:34:52,2,Card,Delivered,Chennai,2815.02,2264,551.02
700130,114952,501078,2024-12-03 19:18:43,3,Wallet,Delivered,Kolkata,1938.5099999999998,1554,384.50999999999976
700131,112851,500889,2024-12-08 08:46:47,4,Cash,Delivered,Chennai,5559.64,4292,1267.6400000000003
700132,106129,501624,2024-02-29 08:48:21,3,Card,Cancelled,Bangalore,4005.0299999999997,2985,1020.0299999999997
700133,101936,502473,2024-01-02 21:48:53,1,Cash,Delivered,Delhi,960.48,768,192.48000000000002
700134,105497,503377,2025-02-01 11:18:22,3,Card,Delivered,Bangalore,753.0,507,246.0
700135,102414,500091,2025-05-03 01:30:56,4,Cash,Delivered,Mumbai,9645.04,8020,1625.0400000000009
700136,102483,501279,2025-01-05 07:04:51,1,Card,Delivered,Delhi,3084.19,2262,822.19
700137,103904,501638,2025-10-19 18:40:25,1,Wallet,Returned,Chennai,2880.9,1923,957.9000000000001
700138,117788,500299,2024-03-30 20:13:33,4,Card,Delivered,Mumbai,11107.4,8148,2959.3999999999996
700139,108520,502815,2025-07-24 16:15:21,4,Wallet,Delivered,Bangalore,10989.48,8900,2089.4799999999996
700140,103099,500198,2024-04-16 09:52:43,1,Cash,Delivered,Delhi,1226.25,998,228.25
700141,108691,502583,2024-03-30 20:45:05,2,Wallet,Returned,Bangalore,6831.74,4830,2001.7399999999998
700142,104084,502853,2025-02-05 20:32:19,4,Cash,Delivered,Bangalore,7896.04,5532,2364.04
700143,113315,500172,2025-11-12 21:53:20,4,Cash,Delivered,Kolkata,1091.32,820,271.31999999999994
700144,115160,501058,2024-07-02 08:12:56,2,Cash,Delivered,Bangalore,6625.16,4504,2121.16
700145,108654,501577,2024-01-16 20:27:09,4,UPI,Delivered,Mumbai,11315.24,9132,2183.24
700146,117508,502195,2025-03-18 07:02:49,2,Cash,Delivered,Bangalore,1889.86,1558,331.8599999999999
700147,112753,501158,2025-08-04 10:07:38,2,Wallet,Delivered,Chennai,6563.02,4400,2163.0200000000004
700148,108463,501115,2025-05-12 17:43:42,2,Card,Delivered,Kolkata,4229.06,3168,1061.0600000000004
700149,111791,501789,2024-01-06 01:32:24,3,UPI,Returned,Hyderabad,4751.16,3669,1082.1599999999999
700150,114229,502643,2024-02-02 16:26:17,2,Wallet,Delivered,Chennai,804.96,564,240.96000000000004
700151,112417,501216,2025-02-04 10:01:14,3,Cash,Delivered,Hyderabad,4441.17,3216,1225.17
700152,100689,500820,2024-02-15 01:07:45,1,UPI,Cancelled,Bangalore,1910.98,1486,424.98
700153,113807,500932,2025-04-06 18:38:50,1,Cash,Delivered,Chennai,1353.25,903,450.25
700154,110429,502629,2025-07-25 17:50:28,2,UPI,Delivered,Mumbai,5600.16,4072,1528.1599999999999
700155,104065,502725,2024-03-30 10:41:31,3,UPI,Delivered,Kolkata,6505.950000000001,4518,1987.9500000000007
700156,115078,501374,2024-01-02 15:31:13,2,Card,Delivered,Mumbai,3103.5,2114,989.5
700157,106617,501417,2025-08-24 17:10:34,3,Card,Delivered,Mumbai,5567.700000000001,4176,1391.7000000000007
700158,108410,501408,2025-01-14 16:12:40,1,UPI,Delivered,Pune,2816.52,2316,500.52
700159,111518,502492,2024-08-02 13:44:26,1,Card,Cancelled,Bangalore,2560.62,1812,748.6199999999999
700160,113581,502970,2025-12-23 23:10:47,3,UPI,Returned,Pune,6990.0,5049,1941.0
700161,115404,503207,2025-04-19 19:02:14,1,UPI,Returned,Bangalore,2229.04,1516,713.04
700162,115323,502313,2025-03-15 21:01:23,3,Cash,Delivered,Bangalore,1412.19,1071,341.19000000000005
700163,106735,500401,2024-08-16 23:26:39,3,UPI,Cancelled,Mumbai,7761.539999999999,6372,1389.539999999999
700164,114927,501110,2024-04-20 23:42:26,2,Wallet,Delivered,Delhi,5437.86,3910,1527.8599999999997
700165,102505,503266,2025-04-09 00:14:03,2,Wallet,Delivered,Hyderabad,1783.9,1358,425.9000000000001
700166,107034,500767,2024-10-14 12:07:35,1,Wallet,Delivered,Hyderabad,492.01,374,118.00999999999999
700167,108429,501379,2025-02-19 06:57:06,3,Wallet,Delivered,Kolkata,10385.039999999999,7122,3263.039999999999
700168,117662,502270,2025-01-28 15:13:55,4,Card,Delivered,Bangalore,4750.12,3504,1246.12
700169,114796,500674,2025-07-26 16:14:27,4,UPI,Cancelled,Pune,11280.92,7860,3420.92
700170,108477,501671,2024-03-22 23:50:29,3,UPI,Cancelled,Bangalore,8543.97,5712,2831.9699999999993
700171,114610,501424,2025-04-07 03:57:33,1,Cash,Delivered,Delhi,2330.26,1555,775.2600000000002
700172,104345,501890,2024-12-26 17:25:24,4,Wallet,Delivered,Mumbai,11552.64,8868,2684.6399999999994
700173,102797,502398,2024-01-18 11:08:13,1,Card,Delivered,Delhi,1583.59,1148,435.5899999999999
700174,116962,501957,2024-08-05 04:22:53,1,Cash,Delivered,Mumbai,1709.66,1259,450.6600000000001
700175,108246,500090,2025-09-18 05:13:22,1,Card,Delivered,Pune,612.9,484,128.89999999999998
700176,106597,501570,2024-06-14 00:37:38,3,Card,Delivered,Hyderabad,9284.099999999999,7125,2159.0999999999985
700177,105584,501668,2024-01-01 22:31:22,3,Wallet,Delivered,Delhi,7063.26,5871,1192.2600000000002
700178,108668,502897,2025-03-24 01:09:43,3,Card,Delivered,Delhi,1725.48,1173,552.48
700179,100752,501686,2025-03-09 11:39:26,2,Cash,Delivered,Chennai,5474.64,4062,1412.6400000000003
700180,103627,501371,2024-04-11 05:43:52,3,Card,Delivered,Chennai,5302.68,3840,1462.6800000000003
700181,101887,500640,2024-07-10 18:30:01,2,Card,Delivered,Bangalore,3116.22,2192,924.2199999999998
700182,114128,502281,2024-05-06 08:14:12,4,Cash,Delivered,Chennai,3453.8,2708,745.8000000000002
700183,117906,501380,2024-08-24 15:17:46,2,Card,Delivered,Hyderabad,7120.04,4862,2258.04
700184,108941,503449,2025-11-16 15:21:08,1,Card,Returned,Chennai,836.13,651,185.13
700185,103199,501591,2025-02-18 23:18:21,4,Wallet,Delivered,Mumbai,6147.84,5008,1139.8400000000001
700186,115004,501964,2024-03-01 07:12:16,2,Wallet,Delivered,Kolkata,2861.9,2026,835.9000000000001
700187,106257,501216,2025-08-05 22:41:16,2,Cash,Delivered,Mumbai,2960.78,2144,816.7800000000002
700188,116246,503394,2024-01-27 10:23:00,1,Cash,Delivered,Bangalore,3350.37,2477,873.3699999999999
700189,106250,502604,2024-10-15 17:46:22,2,Wallet,Returned,Mumbai,3454.22,2450,1004.2199999999998
700190,110915,502494,2024-12-29 12:58:53,1,Card,Delivered,Bangalore,2650.36,2133,517.3600000000001
700191,102084,501862,2024-04-19 08:32:31,3,Card,Delivered,Delhi,1342.8600000000001,972,370.8600000000001
700192,116180,502814,2024-06-02 04:51:41,1,UPI,Delivered,Kolkata,2625.13,1869,756.1300000000001
700193,105541,501930,2024-07-02 07:37:15,1,Cash,Delivered,Chennai,969.83,766,203.83000000000004
700194,114986,501537,2024-04-07 01:02:23,4,Card,Returned,Mumbai,4463.16,3308,1155.1599999999999
700195,101206,500879,2024-02-15 11:44:03,4,UPI,Cancelled,Chennai,1856.72,1376,480.72
700196,109597,500221,2024-10-13 19:45:26,2,Card,Delivered,Pune,529.38,364,165.38
700197,102382,500455,2025-02-21 23:55:02,3,UPI,Delivered,Delhi,4189.17,2802,1387.17
700198,115877,500037,2025-10-08 20:50:35,3,UPI,Delivered,Hyderabad,8473.83,7038,1435.83
700199,105743,501839,2025-07-28 23:23:56,2,UPI,Delivered,Pune,1620.88,1130,490.8800000000001
700200,100022,502087,2024-06-23 02:15:01,1,Cash,Delivered,Mumbai,603.68,422,181.67999999999995
700201,112400,501603,2025-03-28 07:44:17,1,Wallet,Delivered,Hyderabad,2127.96,1537,590.96
700202,116081,501176,2024-03-06 03:48:03,3,Wallet,Delivered,Chennai,1375.59,957,418.5899999999999
700203,104014,500473,2025-10-29 09:26:03,4,Cash,Cancelled,Mumbai,1269.48,944,325.48
700204,109280,503306,2024-02-25 17:59:10,1,Card,Delivered,Delhi,2953.03,2143,810.0300000000002
700205,115570,502187,2024-07-05 17:21:21,3,Card,Delivered,Hyderabad,2383.3500000000004,1779,604.3500000000004
700206,110810,503044,2025-08-27 12:58:04,4,UPI,Delivered,Bangalore,6524.0,4608,1916.0
700207,101692,501878,2024-06-10 08:48:41,2,Card,Delivered,Pune,5289.0,4168,1121.0
700208,102400,500269,2024-02-28 09:02:48,3,Wallet,Delivered,Delhi,3665.76,2682,983.7600000000002
700209,105262,501164,2025-11-04 06:02:50,1,Card,Delivered,Hyderabad,1281.86,906,375.8599999999999
700210,109875,502416,2024-03-14 12:22:04,2,Card,Delivered,Hyderabad,6529.94,4534,1995.9399999999996
700211,109521,501748,2024-02-11 05:14:02,3,Wallet,Delivered,Chennai,5712.18,4377,1335.1800000000003
700212,108092,502113,2024-11-15 14:35:28,2,Cash,Delivered,Hyderabad,4238.9,3006,1232.8999999999996
700213,113605,500174,2024-07-23 14:36:59,4,Cash,Delivered,Chennai,11821.2,7960,3861.2000000000007
700214,116063,501749,2024-09-11 04:29:29,3,Card,Delivered,Delhi,9964.289999999999,7164,2800.289999999999
700215,105264,501718,2024-07-17 02:58:42,2,Cash,Delivered,Kolkata,2901.12,2390,511.1199999999999
700216,115025,500642,2024-10-06 19:37:28,2,Wallet,Delivered,Delhi,6034.64,4958,1076.6400000000003
700217,103266,500965,2025-07-06 18:30:45,4,Wallet,Delivered,Chennai,985.12,740,245.12
700218,111213,500519,2024-02-13 21:08:27,4,UPI,Delivered,Delhi,5491.0,4420,1071.0
700219,114926,502045,2025-01-16 02:23:38,2,UPI,Delivered,Delhi,4094.86,3380,714.8600000000001
700220,116030,503160,2024-11-10 12:10:22,3,Card,Cancelled,Chennai,8681.07,6963,1718.0699999999997
700221,111451,503096,2024-12-10 03:22:32,2,UPI,Delivered,Chennai,2594.02,1778,816.02
700222,100340,501475,2025-06-07 07:35:01,4,Cash,Delivered,Mumbai,5129.2,3536,1593.1999999999998
700223,115420,500154,2024-11-08 16:17:58,4,Card,Delivered,Hyderabad,8081.32,5680,2401.3199999999997
700224,111696,500531,2024-11-12 03:08:03,3,Cash,Delivered,Hyderabad,2995.4700000000003,2250,745.4700000000003
700225,108684,500598,2025-04-12 20:42:25,4,Cash,Delivered,Bangalore,3248.52,2408,840.52
700226,114076,502894,2024-09-13 15:32:59,4,Cash,Delivered,Delhi,7798.64,6156,1642.6400000000003
700227,116056,501719,2024-12-29 07:40:11,2,UPI,Delivered,Delhi,6065.72,4516,1549.7200000000003
700228,103657,500709,2024-11-05 18:11:05,3,Cash,Delivered,Mumbai,9903.81,6789,3114.8099999999995
700229,111451,503429,2025-07-21 14:18:23,1,Wallet,Delivered,Pune,3287.32,2229,1058.3200000000002
700230,103421,503462,2025-06-17 05:32:27,2,Card,Delivered,Pune,3892.26,3088,804.2600000000002
700231,105914,501942,2025-06-09 15:34:57,4,Card,Cancelled,Kolkata,9654.12,7880,1774.1200000000008
700232,115604,501824,2024-09-10 10:15:23,1,Wallet,Delivered,Mumbai,1599.16,1271,328.1600000000001
700233,114951,500838,2024-05-02 04:53:10,1,Wallet,Delivered,Chennai,2446.86,1665,781.8600000000001
700234,116044,502772,2024-11-09 12:46:26,1,UPI,Delivered,Pune,1654.37,1155,499.3699999999999
700235,107984,503443,2025-12-09 02:22:46,4,UPI,Delivered,Kolkata,5828.04,4764,1064.04
700236,115963,501857,2025-02-01 13:30:53,2,Cash,Delivered,Kolkata,2865.92,2248,617.9200000000001
700237,104563,501338,2025-08-23 11:38:17,2,Cash,Delivered,Kolkata,6337.56,5000,1337.5600000000004
700238,106229,503410,2025-08-06 15:28:13,4,Card,Delivered,Kolkata,3607.8,2576,1031.8000000000002
700239,103852,500736,2025-06-25 05:11:49,2,Card,Delivered,Hyderabad,445.98,360,85.98000000000002
700240,101243,500501,2024-07-07 11:40:58,1,Wallet,Delivered,Bangalore,1809.3,1409,400.29999999999995
700241,117291,503396,2025-03-15 11:28:22,2,UPI,Delivered,Delhi,6760.26,4590,2170.26
700242,113050,500570,2024-03-27 21:38:17,2,Wallet,Delivered,Chennai,3655.52,3002,653.52
700243,115164,502414,2025-02-22 17:59:53,3,UPI,Delivered,Mumbai,9907.95,6819,3088.9500000000007
700244,114644,502982,2024-03-05 04:22:14,2,Cash,Delivered,Kolkata,4359.94,3064,1295.9399999999996
700245,106652,501067,2024-07-20 11:24:39,1,Cash,Delivered,Mumbai,858.01,713,145.01
700246,108768,503483,2024-10-08 23:30:32,1,Cash,Cancelled,Hyderabad,2841.43,2195,646.4299999999998
700247,103618,501283,2024-03-12 15:24:10,2,UPI,Returned,Chennai,608.18,418,190.17999999999995
700248,115260,500374,2024-04-20 22:37:56,3,UPI,Cancelled,Bangalore,6817.86,5673,1144.8599999999997
700249,101004,501953,2025-08-11 07:00:12,1,UPI,Delivered,Hyderabad,3412.72,2390,1022.7199999999998
700250,106077,500271,2024-03-06 01:25:19,1,UPI,Returned,Chennai,2967.25,2361,606.25
700251,100549,503320,2024-02-07 04:33:27,3,Wallet,Delivered,Pune,779.0699999999999,594,185.06999999999994
700252,104386,501294,2024-01-24 13:27:57,4,Wallet,Delivered,Bangalore,9023.84,6304,2719.84
700253,101909,500755,2024-06-08 00:26:46,1,Card,Delivered,Pune,1525.55,1199,326.54999999999995
700254,102579,503334,2025-03-06 19:24:28,4,UPI,Delivered,Pune,12343.04,9852,2491.040000000001
700255,101843,502970,2024-02-23 10:10:48,1,Cash,Delivered,Chennai,2330.0,1683,647.0
700256,103655,501582,2024-12-21 09:08:05,3,Cash,Delivered,Pune,8136.18,6042,2094.1800000000003
700257,116083,500456,2025-10-15 03:07:46,1,UPI,Delivered,Bangalore,295.33,241,54.329999999999984
